insee_code,commune_name,latitude,longitude
01185,Plateau d'Hauteville,45.9305,5.5775
01187,Haut Valromey,46.0436,5.6846
01188,Illiat,46.1838,4.8884
01189,Injoux-Génissiat,46.0505,5.7678
01190,Innimond,45.7875,5.5723
01191,Izenave,46.038,5.5234
01192,Izernore,46.216,5.5609
01193,Izieu,45.6555,5.6387
01194,Jassans-Riottier,45.9771,4.7626
01195,Jasseron,46.2176,5.317
01196,Jayat,46.3698,5.1117
01197,Journans,46.1455,5.3333
01198,Joyeux,45.946,5.0998
01199,Jujurieux,46.0503,5.4122
01200,Labalme,46.0915,5.4945
01202,Lagnieu,45.8863,5.3396
01203,Laiz,46.2462,4.9006
01204,Le Poizat-Lalleyriat,46.1392,5.6955
01206,Lantenay,46.0531,5.5379
01207,Lapeyrouse,45.9849,4.9821
01208,Lavours,45.8108,5.7707
01209,Léaz,46.1114,5.8768
01210,Lélex,46.2856,5.9274
01211,Lent,46.1165,5.1974
01212,Lescheroux,46.4089,5.1573
01213,Leyment,45.9287,5.2927
01214,Leyssard,46.1605,5.4767
01215,Surjoux-Lhopital,46.0302,5.7666
01216,Lhuis,45.7469,5.5398
01219,Lompnas,45.8118,5.5263
01224,Loyettes,45.7953,5.2163
01225,Lurcy,46.0628,4.7802
01227,Magnieu,45.7763,5.7197
01228,Maillat,46.1204,5.535
01229,Malafretaz,46.3299,5.1462
01230,Mantenay-Montlin,46.4318,5.1064
01231,Manziat,46.3651,4.9026
01232,Marboz,46.3452,5.2461
01233,Marchamp,45.7762,5.5509
01234,Marignieu,45.8023,5.718
01235,Marlieux,46.0542,5.0756
01236,Marsonnas,46.3401,5.0608
01237,Martignat,46.203,5.6099
01238,Massieux,45.9101,4.8279
01239,Massignieu-de-Rives,45.7564,5.7566
01240,Matafelon-Granges,46.2505,5.5272
01241,Meillonnas,46.2451,5.3347
01242,Mérignat,46.065,5.4425
01243,Messimy-sur-Saône,46.048,4.7609
01244,Meximieux,45.9047,5.2116
01245,Bohas-Meyriat-Rignat,46.1422,5.375
01246,Mézériat,46.2424,5.0481
01247,Mijoux,46.3593,6.0106
01248,Mionnay,45.8959,4.9274
01249,Miribel,45.8444,4.941
01250,Misérieux,45.9745,4.8138
01252,Mogneneins,46.1454,4.8203
01254,Montagnat,46.172,5.2776
01255,Montagnieu,45.802,5.4598
01257,Montanges,46.171,5.7903
01258,Montceaux,46.0978,4.8041
01259,Montcet,46.2199,5.1123
01260,Le Montellier,45.9284,5.0699
01261,Monthieux,45.9631,4.948
01262,Montluel,45.8868,5.0185
01263,Montmerle-sur-Saône,46.0843,4.759
01264,Montracol,46.182,5.1234
01265,Montréal-la-Cluse,46.181,5.5976
01266,Montrevel-en-Bresse,46.3262,5.1122
01267,Nurieux-Volognat,46.1855,5.5155
01268,Murs-et-Gélignieux,45.6404,5.6585
01269,Nantua,46.1486,5.6079
01272,Neuville-les-Dames,46.1599,5.0103
01273,Neuville-sur-Ain,46.0909,5.3702
01274,Les Neyrolles,46.1367,5.6354
01275,Neyron,45.8204,4.9356
01276,Niévroz,45.8241,5.0615
01277,Nivollet-Montgriffon,46.0002,5.4567
01279,Oncieu,45.9685,5.4716
01280,Ordonnaz,45.8357,5.5439
01281,Ornex,46.2779,6.0953
01282,Outriaz,46.0631,5.5543
01283,Oyonnax,46.2599,5.6517
01284,Ozan,46.3863,4.9191
01285,Parcieux,45.9197,4.8299
01286,Parves et Nattages,45.7318,5.7495
01288,Péron,46.1933,5.9141
01289,Péronnas,46.1693,5.2195
01290,Pérouges,45.8789,5.1791
01291,Perrex,46.2462,4.9718
01293,Peyriat,46.1486,5.506
01294,Peyrieu,45.674,5.6829
01295,Peyzieux-sur-Saône,46.1227,4.8192
01296,Pirajoux,46.386,5.2703
01297,Pizay,45.8906,5.0901
01298,Plagne,46.1889,5.7179
01299,Le Plantay,46.0236,5.0891
01301,Polliat,46.2504,5.1355
01302,Pollieu,45.7953,5.7463
01303,Poncin,46.0918,5.4129
01304,Pont-d'Ain,46.0556,5.3491
01305,Pont-de-Vaux,46.4415,4.9265
01306,Pont-de-Veyle,46.2647,4.8818
01307,Port,46.1535,5.581
01308,Pougny,46.1457,5.9492
01309,Pouillat,46.3263,5.4243
01310,Prémeyzel,45.6827,5.6423
01311,Prémillieu,45.8785,5.5657
01313,Prévessin-Moëns,46.2594,6.0722
01314,Priay,46.019,5.2829
01317,Ramasse,46.1893,5.3569
01318,Rancé,45.9674,4.8665
01319,Relevant,46.0808,4.9399
01320,Replonges,46.307,4.8784
01321,Revonnas,46.1637,5.3351
01322,Reyrieux,45.9368,4.8314
01323,Reyssouze,46.4284,4.9145
01325,Rignieux-le-Franc,45.9513,5.1675
01328,Romans,46.1216,5.0217
01329,Rossillon,45.8359,5.5987
01331,Saint-Alban,46.0968,5.4568
01332,Saint-André-de-Bâgé,46.2975,4.9132
01333,Saint-André-de-Corcy,45.9287,4.9529
01334,Saint-André-d'Huiriat,46.2163,4.9144
01335,Saint-André-le-Bouchoux,46.1137,5.0775
01336,Saint-André-sur-Vieux-Jonc,46.15,5.143
01337,Saint-Bénigne,46.4517,4.952
01338,Groslée-Saint-Benoit,45.7011,5.5823
01339,Saint-Bernard,45.95,4.7419
01342,Sainte-Croix,45.8978,5.0477
01343,Saint-Cyr-sur-Menthon,46.2751,4.9669
01344,Saint-Denis-lès-Bourg,46.2097,5.1825
01345,Saint-Denis-en-Bugey,45.9497,5.326
01346,Saint-Didier-d'Aussiat,46.3075,5.0536
01347,Saint-Didier-de-Formans,45.9587,4.7767
01348,Saint-Didier-sur-Chalaronne,46.1877,4.823
01349,Saint-Éloi,45.9343,5.1507
01350,Saint-Étienne-du-Bois,46.2755,5.2793
01351,Saint-Étienne-sur-Chalaronne,46.1451,4.8694
01352,Saint-Étienne-sur-Reyssouze,46.3998,5.0031
01353,Sainte-Euphémie,45.9651,4.7927
01354,Saint-Genis-Pouilly,46.2556,6.0368
01355,Saint-Genis-sur-Menthon,46.281,5.0162
01356,Saint-Georges-sur-Renon,46.1033,5.0286
01357,Saint-Germain-de-Joux,46.1812,5.7435
01358,Saint-Germain-les-Paroisses,45.773,5.6191
01359,Saint-Germain-sur-Renon,46.0764,5.0626
01360,Saint-Jean-de-Gonville,46.2184,5.9395
01361,Saint-Jean-de-Niost,45.8384,5.2066
01362,Saint-Jean-de-Thurigneux,45.9597,4.8959
01363,Saint-Jean-le-Vieux,46.028,5.3799
01364,Saint-Jean-sur-Reyssouze,46.3912,5.0582
01365,Saint-Jean-sur-Veyle,46.2687,4.9203
01366,Sainte-Julie,45.8802,5.2837
01367,Saint-Julien-sur-Reyssouze,46.3977,5.1062
01368,Saint-Julien-sur-Veyle,46.2072,4.9559
01369,Saint-Just,46.1948,5.285
01370,Saint-Laurent-sur-Saône,46.3053,4.8395
01371,Saint-Marcel,45.9485,4.9862
01372,Saint-Martin-de-Bavel,45.8467,5.6779
01373,Saint-Martin-du-Frêne,46.1345,5.5711
01374,Saint-Martin-du-Mont,46.1063,5.33
01375,Saint-Martin-le-Châtel,46.2903,5.1206
01376,Saint-Maurice-de-Beynost,45.8325,4.9763
01378,Saint-Maurice-de-Gourdans,45.819,5.172
01379,Saint-Maurice-de-Rémens,45.9542,5.2706
01380,Saint-Nizier-le-Bouchoux,46.4549,5.1716
01381,Saint-Nizier-le-Désert,46.0518,5.1471
01382,Sainte-Olive,46.0147,4.9349
01383,Saint-Paul-de-Varax,46.0949,5.1309
01384,Saint-Rambert-en-Bugey,45.953,5.4418
01385,Saint-Rémy,46.1857,5.1646
01386,Saint-Sorlin-en-Bugey,45.8863,5.369
01387,Saint-Sulpice,46.3215,5.0406
01388,Saint-Trivier-de-Courtes,46.458,5.0672
01389,Saint-Trivier-sur-Moignans,46.0632,4.8984
01390,Saint-Vulbas,45.8234,5.267
01391,Salavre,46.363,5.3457
01392,Samognat,46.2732,5.5826
01393,Sandrans,46.0709,4.9824
01396,Sault-Brénaz,45.8612,5.4007
01397,Sauverny,46.3132,6.1102
01398,Savigneux,45.9946,4.8559
01399,Ségny,46.2944,6.0732
01400,Seillonnaz,45.8006,5.504
01401,Sergy,46.2615,5.9872
01402,Sermoyer,46.4987,4.9733
01403,Serrières-de-Briord,45.8129,5.4424
01404,Serrières-sur-Ain,46.149,5.4472
01405,Servas,46.1366,5.1845
01406,Servignat,46.4354,5.0587
01407,Seyssel,45.9477,5.8257
01408,Simandre-sur-Suran,46.235,5.4214
01410,Sonthonnax-la-Montagne,46.2235,5.5015
01411,Souclin,45.8811,5.4368
01412,Sulignat,46.1727,4.9601
01415,Talissieu,45.8627,5.7199
01416,Tenay,45.9222,5.5147
01418,Thil,45.8184,5.0189
01419,Thoiry,46.2448,5.9685
01420,Thoissey,46.1697,4.7963
01421,Torcieu,45.9189,5.4056
01422,Tossiat,46.1355,5.3076
01423,Toussieux,45.961,4.8289
01424,Tramoyes,45.8742,4.9624
01425,La Tranclière,46.0915,5.2656
01426,Val-Revermont,46.2816,5.3537
01427,Trévoux,45.9398,4.771
01428,Valeins,46.1145,4.8646
01429,Vandeins,46.2155,5.0786
01430,Varambon,46.0443,5.2909
01431,Vaux-en-Bugey,45.9184,5.3612
01432,Verjon,46.3466,5.3472
01433,Vernoux,46.4861,5.1036
01434,Versailleux,45.9883,5.115
01435,Versonnex,46.2992,6.1008
01436,Vesancy,46.3634,6.0856
01437,Vescours,46.4743,5.0286
01439,Vésines,46.3593,4.8638
01441,Vieu-d'Izenave,46.0823,5.5555
01443,Villars-les-Dombes,46,5.0443
01444,Villebois,45.8499,5.4483
01445,Villemotier,46.3418,5.3087
01446,Villeneuve,46.0346,4.8598
01447,Villereversure,46.1939,5.3936
01448,Villes,46.0952,5.7598
01449,Villette-sur-Ain,46.0125,5.254
01450,Villieu-Loyes-Mollon,45.929,5.2265
