#-----------------------------------------------------------------------------
# Date d'extraction : 18/04/2026 - 00h11 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : CCLM4-8-17_MPI-ESM
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL30;19.73;27.56;13.03;31.97;20.8;82.2;107.9;603.77;46.54;224.14;28.16;66.43;3.8;67;215;3.86;4.23;3.67;3.99;18.6;53.7;73.8;0.1;29;37;-0.14;-0.2;-0.01;0.02;0.36;
281;41.4149;9.0628;GWL30;19.72;27.56;13.03;31.97;20.8;82.1;107.8;604.07;46.54;224.27;28.17;66.45;3.8;67;215;3.86;4.23;3.67;4;18.6;53.5;73.8;0.1;29;37;-0.14;-0.2;-0.01;0.02;0.36;
282;41.4087;9.1577;GWL30;19.39;27.35;12.59;31.73;18.1;77.5;105.8;625.15;47.65;232.65;29.16;67.72;3.8;60;225;3.86;4.3;3.59;4.14;16.3;52.3;73.7;0.1;28;33;-0.14;-0.21;-0.01;0.02;0.35;
283;41.4025;9.2527;GWL30;19.69;27.54;12.98;31.95;20.5;81.6;107.7;606.04;46.61;225.04;28.23;66.56;3.8;66;233;3.85;4.24;3.66;4.01;18.4;53.3;73.8;0.2;29;32;-0.14;-0.2;-0.01;0.02;0.36;
422;41.4985;8.8808;GWL30;19.54;27.34;12.94;32.09;23.6;79.9;102.4;607.03;43.5;231.46;28.12;59.22;3.8;68;220;3.75;4.08;3.66;4.2;21.5;52;68.9;0.2;31;41;-0.15;-0.29;0;0.02;0.13;
423;41.4925;8.9759;GWL30;19.32;27.2;12.65;31.94;22.1;76.9;100.8;621.2;44.24;237.18;28.77;60.03;3.8;64;221;3.75;4.12;3.62;4.29;20.2;51.6;69;0.1;30;37;-0.15;-0.29;0;0.02;0.12;
424;41.4864;9.071;GWL30;19.53;27.42;12.77;31.83;19.6;79.5;106.6;616.2;47.2;229.12;28.67;67.17;3.8;63;224;3.85;4.26;3.62;4.07;17.6;53.2;73.5;0.2;28;34;-0.14;-0.2;-0.01;0.02;0.36;
425;41.4802;9.166;GWL30;19.13;27.2;12.23;31.56;17.2;75;103.3;644.85;48.73;240.37;30.03;68.91;3.8;55;215;3.89;4.41;3.56;4.3;15.4;51.6;72.6;0.2;27;34;-0.14;-0.21;-0.01;0.02;0.34;
426;41.4739;9.261;GWL30;19.53;27.42;12.77;31.83;19.6;79.5;106.6;616.27;47.25;229.12;28.67;67.17;3.8;63;219;3.85;4.26;3.62;4.07;17.6;53.2;73.5;0.2;28;38;-0.14;-0.2;-0.01;0.02;0.36;
564;41.5759;8.7935;GWL30;18.51;25.79;11.99;29.75;6.8;48.3;86.4;637.86;43.88;227.67;28.46;59.59;4.3;22;196;3.27;3.44;3.17;3.43;6.6;39.5;60.2;0.7;14;37;-0.14;-0.3;0.05;0.05;0.18;
565;41.57;8.8888;GWL30;18.25;25.82;11.51;29.74;6.2;52.2;86.1;668.21;45.46;238.58;29.8;61.35;4.3;23;194;3.38;3.75;3.13;3.73;6;42.2;60.8;0.7;16;33;-0.14;-0.31;0.05;0.05;0.18;
566;41.564;8.984;GWL30;18.12;25.96;11.21;29.95;8.6;57.2;86.4;692.6;46.73;247.55;30.93;62.76;4.3;25;186;3.54;4.11;3.17;4.13;8.3;45.2;62.1;0.7;18;38;-0.14;-0.31;0.05;0.05;0.17;
567;41.5579;9.0791;GWL30;17.41;26.16;9.98;30.17;15.6;57.7;86;912.84;66.57;339.4;42.04;85.74;4.3;28;155;3.99;5.04;3.31;5.29;14.6;44.3;63.2;0.7;22;39;-0.13;-0.26;0.03;0.14;0.36;
568;41.5517;9.1743;GWL30;19.06;27.15;12.12;31.52;17.1;74.2;102.8;650.23;49.1;242.55;30.35;69.23;3.8;54;215;3.9;4.43;3.55;4.35;15.4;51.3;72.5;0.2;27;32;-0.15;-0.21;-0.01;0.02;0.34;
569;41.5454;9.2694;GWL30;19.27;27.08;12.56;31.61;18.5;74.8;99.8;664.05;61.61;224.18;31.61;93.43;4.1;62;214;3.66;3.97;3.48;3.93;16.5;49.1;67.9;0.5;26;33;-0.1;0.06;-0.04;0.1;0.55;
707;41.6474;8.8014;GWL30;18.49;25.8;11.94;29.86;8;50.3;85.1;651.1;39.56;231.81;28.36;63.83;3.8;23;199;3.21;3.42;3.08;3.5;7.9;41.3;58.4;0.1;16;30;-0.12;-0.38;0.06;0.02;0.3;
708;41.6415;8.8967;GWL30;18.12;25.87;11.26;29.93;8.4;55.6;84.6;697.61;41.89;248.67;30.41;66.52;3.8;25;187;3.4;3.91;3.04;4.02;8.2;44.7;59.2;0.2;17;37;-0.12;-0.39;0.06;0.02;0.28;
709;41.6355;8.992;GWL30;18.11;25.98;11.17;29.97;8.8;57.8;86.5;696.1;46.92;248.86;31.12;62.96;4.3;26;186;3.56;4.16;3.18;4.19;8.4;45.2;62.4;0.6;18;42;-0.14;-0.31;0.05;0.05;0.17;
710;41.6294;9.0873;GWL30;17.56;26.24;10.16;30.32;14.9;59.2;86.4;893.85;65.47;331.74;41.19;84.78;4.4;27;152;3.91;4.91;3.27;5.15;14;44.9;62.9;0.7;21;41;-0.13;-0.26;0.03;0.14;0.37;
711;41.6232;9.1826;GWL30;17.51;26.22;10.1;30.27;15.1;58.7;86.2;899.37;65.72;334.22;41.39;85.08;4.4;27;163;3.94;4.95;3.28;5.2;14.2;44.8;62.8;0.7;21;36;-0.13;-0.26;0.03;0.13;0.37;
712;41.6169;9.2779;GWL30;19.1;26.79;12.39;31.08;12.6;69.7;102.2;740.05;59.43;256.25;39.34;100.72;4.1;21;197;3.37;3.5;3.24;3.47;12;46;61.1;0.5;12;27;-0.11;0.04;-0.04;0.13;0.47;
849;41.7248;8.7138;GWL30;18.58;25.83;12.02;29.71;6.8;48.7;88.6;644.2;40.54;227.89;27.55;64.74;3;19;208;3.27;3.42;3.13;3.32;6.7;39.8;61.4;-0.7;12;52;-0.14;-0.4;0.04;-0.01;0.2;
850;41.719;8.8093;GWL30;18.56;25.82;11.99;29.7;6.8;48.7;88.7;645.67;40.62;228.46;27.66;64.83;3;19;208;3.27;3.43;3.12;3.33;6.8;39.8;61.5;-0.8;12;47;-0.14;-0.4;0.04;-0.01;0.2;
851;41.713;8.9047;GWL30;18.01;26;11.01;30.13;9.9;60.2;84.9;720.09;42.99;257.1;31.49;67.79;3.8;27;182;3.54;4.23;3.09;4.38;9.6;47.1;60.5;0.1;19;42;-0.13;-0.39;0.06;0.03;0.27;
852;41.707;9.0001;GWL30;17.89;26.43;10.58;30.82;16.3;65.3;86.6;863.15;52.25;327.29;35.68;73.61;3.7;25;170;3.76;4.65;3.19;4.97;15.2;48.7;61.2;0.1;20;46;-0.13;-0.41;0.05;0.04;0.26;
853;41.7009;9.0955;GWL30;17.49;26.26;10.03;30.56;17.2;62.6;84.1;904.97;61.22;342.99;40.88;79.5;4.5;30;156;3.82;4.92;3.12;5.36;16.3;48.4;60.4;0.9;23;40;-0.12;-0.32;0.05;0.17;0.24;
854;41.6946;9.1909;GWL30;16.24;25.03;8.66;28.31;8.9;39.5;77.1;1003.78;68.69;364.51;46.82;97.04;4;32;145;3.93;5.01;3.13;5.15;8.8;32.6;58.8;0.4;22;39;-0.13;-0.28;0.02;0.17;0.3;
855;41.6884;9.2863;GWL30;18.09;26.56;10.78;30.93;16.3;65.8;93.9;831.54;53.54;301.36;43.09;97.64;3.8;26;176;3.57;4.29;2.99;4.56;15.5;46.2;61.1;0.2;17;27;-0.1;-0.18;0.01;0.15;0.32;
856;41.682;9.3817;GWL30;19.18;26.92;12.46;31.4;14.9;73.4;101.7;735.52;48.52;264.74;38.79;91.86;3.8;24;200;3.27;3.49;3.11;3.61;14.1;48.4;60.1;0.1;14;28;-0.09;-0.14;0.01;0.15;0.34;
992;41.7963;8.7216;GWL30;18.5;25.81;11.88;29.67;6.4;48.1;88.4;652.09;40.97;230.77;27.95;65.19;3;19;208;3.28;3.47;3.1;3.37;6.3;39.3;61.4;-0.7;12;53;-0.14;-0.4;0.04;-0.01;0.2;
993;41.7905;8.8171;GWL30;17.89;25.99;10.74;29.84;8.9;56.7;89.1;736.76;45.54;261.02;31.63;70.02;3;25;190;3.72;4.47;3.14;4.44;8.5;44.4;65.9;-0.6;18;58;-0.14;-0.4;0.04;-0.01;0.19;
994;41.7845;8.9127;GWL30;18.3;26.7;11.1;31.24;16.3;70.2;87.9;824.87;51.05;328;33.64;76.1;4.1;24;177;3.58;4.4;3.09;4.7;15.2;50.8;59.4;0.4;18;46;-0.12;-0.4;0.11;0;0.3;
995;41.7785;9.0083;GWL30;16.31;25.17;8.84;28.63;9.6;45.8;77.7;1003.21;60.8;401.95;41.2;85.38;4;35;155;4.04;5.17;3.35;5.51;9.4;38.8;59;0.3;26;56;-0.13;-0.41;0.11;0;0.26;
996;41.7724;9.1038;GWL30;15.61;24.46;8.06;27.92;5.1;38.2;68.9;1186.3;73.71;477.4;55.84;94.58;5.8;31;139;3.89;4.97;3.15;5.4;5.1;34.2;53.5;2.2;24;51;-0.12;-0.41;0.1;0.17;0.18;
997;41.7661;9.1993;GWL30;15.33;23.98;7.83;27.04;4.2;24.9;69.1;1204.19;80.48;461.17;57.25;113.73;4.1;24;135;3.87;4.77;3.16;4.89;4.2;21.8;54.9;0.4;18;46;-0.13;-0.34;0.04;0.18;0.28;
998;41.7598;9.2948;GWL30;17.05;25.67;9.59;29.99;13.5;55;78.9;1062.41;73.01;400.9;50.08;104.28;4.2;20;145;3.7;4.54;3.07;4.85;13;41.5;58.3;0.5;15;39;-0.12;-0.32;0.03;0.18;0.3;
999;41.7535;9.3902;GWL30;18.92;26.8;12.06;31.3;15.2;71.2;99.4;756;49.51;272.88;39.65;93.1;3.8;24;197;3.31;3.61;3.05;3.79;14.6;48;59.3;0.2;14;30;-0.1;-0.15;0.01;0.15;0.33;
1134;41.8737;8.6336;GWL30;18.69;25.88;12.17;29.8;7.3;50.8;88.8;634.88;40.04;224.47;27.09;64.22;3;20;208;3.26;3.39;3.16;3.29;7;41.4;61.5;-0.7;12;53;-0.14;-0.4;0.04;-0.01;0.21;
1135;41.8679;8.7294;GWL30;18.69;25.88;12.17;29.8;7.3;50.8;88.8;634.88;40.04;224.47;27.09;64.22;3;20;196;3.26;3.39;3.16;3.29;7;41.4;61.5;-0.7;12;52;-0.14;-0.4;0.04;-0.01;0.21;
1136;41.862;8.8251;GWL30;18.15;25.98;11.16;29.86;7.8;56.2;89.2;703.02;43.77;248.96;30.26;68.05;3;22;194;3.54;4.11;3.1;4.03;7.5;44.2;63.8;-0.7;15;59;-0.14;-0.4;0.04;-0.01;0.19;
1137;41.856;8.9207;GWL30;17.47;26.26;10.04;30.5;16.5;62.2;84.6;919.07;56.07;365.61;37.32;81.08;4;30;164;3.9;5;3.24;5.43;15.5;48.3;61.4;0.3;24;52;-0.13;-0.4;0.11;0;0.28;
1138;41.85;9.0164;GWL30;17.54;26.38;10.03;30.82;19.6;65.5;83.4;895.71;56.3;346.86;39.96;74.01;5.4;32;163;3.74;4.91;2.98;5.43;18.8;50.7;59.5;1.7;24;46;-0.12;-0.36;0.08;0.14;0.19;
1139;41.8439;9.112;GWL30;13.68;22.38;6.37;25.03;0.6;11.6;53.3;1308.05;80.49;532.78;61.48;101.86;5.9;11;124;3.87;4.87;3.27;5.08;0.6;11.4;44.9;2.3;10;44;-0.12;-0.41;0.11;0.17;0.17;
