code_insee,commune,cout_moyen_secheresse
01138,Culoz,Pas de sinistre répertorié à CCR
01139,Curciat-Dongalon,Plus de 20 k€
01140,Curtafond,Entre 5 et 10 k€
01141,Cuzieu,Pas de sinistre répertorié à CCR
01142,Dagneux,Pas de sinistre répertorié à CCR
01143,Divonne-les-Bains,Pas de sinistre répertorié à CCR
01145,Dompierre-sur-Veyle,Pas de sinistre répertorié à CCR
01146,Dompierre-sur-Chalaronne,Pas de sinistre répertorié à CCR
01147,Domsure,Plus de 20 k€
01148,Dortan,"Entre 0 et 2,5 k€"
01149,Douvres,Entre 5 et 10 k€
01150,Drom,Pas de sinistre répertorié à CCR
01151,Druillat,Pas de sinistre répertorié à CCR
01152,Échallon,Pas de sinistre répertorié à CCR
01153,Échenevex,Pas de sinistre répertorié à CCR
01155,Évosges,Pas de sinistre répertorié à CCR
01156,Faramans,Pas de sinistre répertorié à CCR
01157,Fareins,Entre 10 et 20k€
01158,Farges,Pas de sinistre répertorié à CCR
01159,Feillens,Plus de 20 k€
01160,Ferney-Voltaire,Pas de sinistre répertorié à CCR
01162,Flaxieu,Pas de sinistre répertorié à CCR
01163,Foissiat,Entre 10 et 20k€
01165,Francheleins,"Entre 0 et 2,5 k€"
01166,Frans,Pas de sinistre répertorié à CCR
01167,Garnerans,Entre 10 et 20k€
01169,Genouilleux,Pas de sinistre répertorié à CCR
01170,Béard-Géovreissiat,"Entre 0 et 2,5 k€"
01171,Géovreisset,Pas de sinistre répertorié à CCR
01173,Gex,Pas de sinistre répertorié à CCR
01174,Giron,Pas de sinistre répertorié à CCR
01175,Gorrevod,Entre 10 et 20k€
01177,Grand-Corent,Entre 5 et 10 k€
01179,Grièges,Entre 10 et 20k€
01180,Grilly,Pas de sinistre répertorié à CCR
01181,Groissiat,Pas de sinistre répertorié à CCR
01183,Guéreins,"Entre 2,5 et 5 k€"
01184,Hautecourt-Romanèche,"Entre 2,5 et 5 k€"
01185,Plateau d'Hauteville,Pas de sinistre répertorié à CCR
01187,Haut Valromey,Pas de sinistre répertorié à CCR
01188,Illiat,Pas de sinistre répertorié à CCR
01189,Injoux-Génissiat,"Entre 0 et 2,5 k€"
01190,Innimond,Pas de sinistre répertorié à CCR
01191,Izenave,Pas de sinistre répertorié à CCR
01192,Izernore,Pas de sinistre répertorié à CCR
01193,Izieu,Pas de sinistre répertorié à CCR
01194,Jassans-Riottier,"Entre 2,5 et 5 k€"
01195,Jasseron,Entre 10 et 20k€
01196,Jayat,Entre 10 et 20k€
01197,Journans,"Entre 0 et 2,5 k€"
01198,Joyeux,Pas de sinistre répertorié à CCR
01199,Jujurieux,"Entre 0 et 2,5 k€"
01200,Labalme,Pas de sinistre répertorié à CCR
01202,Lagnieu,"Entre 2,5 et 5 k€"
01203,Laiz,Entre 10 et 20k€
01204,Le Poizat-Lalleyriat,Pas de sinistre répertorié à CCR
01206,Lantenay,Pas de sinistre répertorié à CCR
01207,Lapeyrouse,Pas de sinistre répertorié à CCR
01208,Lavours,Pas de sinistre répertorié à CCR
01209,Léaz,Pas de sinistre répertorié à CCR
01210,Lélex,Pas de sinistre répertorié à CCR
01211,Lent,Pas de sinistre répertorié à CCR
01212,Lescheroux,"Entre 2,5 et 5 k€"
01213,Leyment,Pas de sinistre répertorié à CCR
01214,Leyssard,Pas de sinistre répertorié à CCR
01215,Surjoux-Lhopital,Pas de sinistre répertorié à CCR
01216,Lhuis,Pas de sinistre répertorié à CCR
01219,Lompnas,Pas de sinistre répertorié à CCR
01224,Loyettes,Pas de sinistre répertorié à CCR
01225,Lurcy,Pas de sinistre répertorié à CCR
01227,Magnieu,Pas de sinistre répertorié à CCR
01228,Maillat,Pas de sinistre répertorié à CCR
01229,Malafretaz,Entre 10 et 20k€
01230,Mantenay-Montlin,Plus de 20 k€
01231,Manziat,Plus de 20 k€
01232,Marboz,Entre 10 et 20k€
