code_insee,commune,cout_moyen_secheresse
10208,La Louptière-Thénard,"Entre 2,5 et 5 k€"
10209,Lusigny-sur-Barse,Plus de 20 k€
10210,Luyères,Pas de sinistre répertorié à CCR
10211,Macey,Pas de sinistre répertorié à CCR
10212,Machy,Pas de sinistre répertorié à CCR
10213,Magnant,Entre 5 et 10 k€
10214,Magnicourt,Pas de sinistre répertorié à CCR
10215,Magny-Fouchard,"Entre 2,5 et 5 k€"
10216,Mailly-le-Camp,Pas de sinistre répertorié à CCR
10217,Maison-des-Champs,Pas de sinistre répertorié à CCR
10218,Maisons-lès-Chaource,Entre 5 et 10 k€
10219,Maisons-lès-Soulaines,Pas de sinistre répertorié à CCR
10220,Maizières-la-Grande-Paroisse,Pas de sinistre répertorié à CCR
10221,Maizières-lès-Brienne,Pas de sinistre répertorié à CCR
10222,Maraye-en-Othe,Pas de sinistre répertorié à CCR
10223,Marcilly-le-Hayer,Pas de sinistre répertorié à CCR
10224,Marigny-le-Châtel,Pas de sinistre répertorié à CCR
10225,Marnay-sur-Seine,Pas de sinistre répertorié à CCR
10226,Marolles-lès-Bailly,Plus de 20 k€
10227,Marolles-sous-Lignières,Entre 10 et 20k€
10228,Mathaux,"Entre 2,5 et 5 k€"
10229,Maupas,Pas de sinistre répertorié à CCR
10230,Mergey,Pas de sinistre répertorié à CCR
10231,Le Mériot,Pas de sinistre répertorié à CCR
10232,Merrey-sur-Arce,Pas de sinistre répertorié à CCR
10233,Méry-sur-Seine,Pas de sinistre répertorié à CCR
10234,Mesgrigny,Pas de sinistre répertorié à CCR
10235,Mesnil-la-Comtesse,Pas de sinistre répertorié à CCR
10236,Mesnil-Lettre,Pas de sinistre répertorié à CCR
10237,Mesnil-Saint-Loup,Pas de sinistre répertorié à CCR
10238,Mesnil-Saint-Père,Entre 10 et 20k€
10239,Mesnil-Sellières,Pas de sinistre répertorié à CCR
10240,Messon,Pas de sinistre répertorié à CCR
10241,Metz-Robert,"Entre 0 et 2,5 k€"
10242,Meurville,Pas de sinistre répertorié à CCR
10243,Molins-sur-Aube,Pas de sinistre répertorié à CCR
10245,Montaulin,Entre 5 et 10 k€
10246,Montceaux-lès-Vaudes,Pas de sinistre répertorié à CCR
10247,Montfey,"Entre 2,5 et 5 k€"
10248,Montgueux,Pas de sinistre répertorié à CCR
10249,Montiéramey,Entre 10 et 20k€
10250,Montier-en-l'Isle,Pas de sinistre répertorié à CCR
10251,Montigny-les-Monts,Entre 10 et 20k€
10252,Montmartin-le-Haut,Pas de sinistre répertorié à CCR
10253,Montmorency-Beaufort,Entre 10 et 20k€
10254,Montpothier,Pas de sinistre répertorié à CCR
10255,Montreuil-sur-Barse,Entre 10 et 20k€
10256,Montsuzain,Pas de sinistre répertorié à CCR
10257,Morembert,Pas de sinistre répertorié à CCR
10258,Morvilliers,Pas de sinistre répertorié à CCR
10259,La Motte-Tilly,Pas de sinistre répertorié à CCR
10260,Moussey,Pas de sinistre répertorié à CCR
10261,Mussy-sur-Seine,Pas de sinistre répertorié à CCR
10262,Neuville-sur-Seine,Pas de sinistre répertorié à CCR
10263,Neuville-sur-Vanne,Pas de sinistre répertorié à CCR
10264,Noé-les-Mallets,Pas de sinistre répertorié à CCR
10265,Les Noës-près-Troyes,Pas de sinistre répertorié à CCR
10266,Nogent-en-Othe,Pas de sinistre répertorié à CCR
10267,Nogent-sur-Aube,Pas de sinistre répertorié à CCR
10268,Nogent-sur-Seine,Pas de sinistre répertorié à CCR
10269,Nozay,Pas de sinistre répertorié à CCR
10270,Onjon,Pas de sinistre répertorié à CCR
10271,Origny-le-Sec,Pas de sinistre répertorié à CCR
10272,Ormes,Pas de sinistre répertorié à CCR
10273,Ortillon,Pas de sinistre répertorié à CCR
10274,Orvilliers-Saint-Julien,Pas de sinistre répertorié à CCR
10275,Ossey-les-Trois-Maisons,Pas de sinistre répertorié à CCR
10276,Paisy-Cosdon,Pas de sinistre répertorié à CCR
10278,Pargues,Pas de sinistre répertorié à CCR
10279,Pars-lès-Chavanges,Pas de sinistre répertorié à CCR
10280,Pars-lès-Romilly,Pas de sinistre répertorié à CCR
10281,Le Pavillon-Sainte-Julie,Pas de sinistre répertorié à CCR
10282,Payns,Pas de sinistre répertorié à CCR
10283,Pel-et-Der,"Entre 2,5 et 5 k€"
10284,Périgny-la-Rose,Pas de sinistre répertorié à CCR
10285,Perthes-lès-Brienne,Pas de sinistre répertorié à CCR
10286,Petit-Mesnil,Plus de 20 k€
10287,Piney,Entre 5 et 10 k€
10288,Plaines-Saint-Lange,Pas de sinistre répertorié à CCR
10289,Plancy-l'Abbaye,Pas de sinistre répertorié à CCR
10290,Planty,Pas de sinistre répertorié à CCR
10291,Plessis-Barbuise,Pas de sinistre répertorié à CCR
10293,Poivres,Pas de sinistre répertorié à CCR
10294,Poligny,Pas de sinistre répertorié à CCR
10295,Polisot,Pas de sinistre répertorié à CCR
10296,Polisy,Pas de sinistre répertorié à CCR
10297,Pont-Sainte-Marie,Pas de sinistre répertorié à CCR
10298,Pont-sur-Seine,Pas de sinistre répertorié à CCR
10299,Pouan-les-Vallées,Pas de sinistre répertorié à CCR
10300,Pougy,Pas de sinistre répertorié à CCR
10301,Pouy-sur-Vannes,Pas de sinistre répertorié à CCR
10302,Praslin,Pas de sinistre répertorié à CCR
10303,Précy-Notre-Dame,Pas de sinistre répertorié à CCR
10304,Précy-Saint-Martin,"Entre 0 et 2,5 k€"
10305,Prémierfait,Pas de sinistre répertorié à CCR
10306,Proverville,Pas de sinistre répertorié à CCR
10307,Prugny,Pas de sinistre répertorié à CCR
10308,Prunay-Belleville,Pas de sinistre répertorié à CCR
10309,Prusy,"Entre 2,5 et 5 k€"
10310,Puits-et-Nuisement,Pas de sinistre répertorié à CCR
10312,Racines,"Entre 0 et 2,5 k€"
10313,Radonvilliers,Plus de 20 k€
10314,Ramerupt,Pas de sinistre répertorié à CCR
10315,Rances,Pas de sinistre répertorié à CCR
10316,Rhèges,Pas de sinistre répertorié à CCR
10317,Les Riceys,Pas de sinistre répertorié à CCR
10318,Rigny-la-Nonneuse,Pas de sinistre répertorié à CCR
10319,Rigny-le-Ferron,Pas de sinistre répertorié à CCR
10320,Rilly-Sainte-Syre,Pas de sinistre répertorié à CCR
10321,La Rivière-de-Corps,Pas de sinistre répertorié à CCR
10323,Romilly-sur-Seine,"Entre 0 et 2,5 k€"
10324,Roncenay,Pas de sinistre répertorié à CCR
10325,Rosières-près-Troyes,Pas de sinistre répertorié à CCR
10326,Rosnay-l'Hôpital,"Entre 0 et 2,5 k€"
10327,La Rothière,Pas de sinistre répertorié à CCR
10328,Rouilly-Sacey,Pas de sinistre répertorié à CCR
10329,Rouilly-Saint-Loup,Entre 5 et 10 k€
10330,Rouvres-les-Vignes,Pas de sinistre répertorié à CCR
10331,Rumilly-lès-Vaudes,Entre 5 et 10 k€
10332,Ruvigny,"Entre 2,5 et 5 k€"
10333,Saint-André-les-Vergers,Pas de sinistre répertorié à CCR
10334,Saint-Aubin,Pas de sinistre répertorié à CCR
10335,Saint-Benoist-sur-Vanne,Pas de sinistre répertorié à CCR
10336,Saint-Benoît-sur-Seine,Pas de sinistre répertorié à CCR
10337,Saint-Christophe-Dodinicourt,Pas de sinistre répertorié à CCR
10338,Saint-Étienne-sous-Barbuise,Pas de sinistre répertorié à CCR
10339,Saint-Flavy,Pas de sinistre répertorié à CCR
10340,Saint-Germain,Pas de sinistre répertorié à CCR
10341,Saint-Hilaire-sous-Romilly,Pas de sinistre répertorié à CCR
10342,Saint-Jean-de-Bonneval,"Entre 2,5 et 5 k€"
10343,Saint-Julien-les-Villas,"Entre 2,5 et 5 k€"
10344,Saint-Léger-près-Troyes,Pas de sinistre répertorié à CCR
10345,Saint-Léger-sous-Brienne,Entre 10 et 20k€
10346,Saint-Léger-sous-Margerie,Pas de sinistre répertorié à CCR
10347,Saint-Loup-de-Buffigny,Pas de sinistre répertorié à CCR
10348,Saint-Lupien,Pas de sinistre répertorié à CCR
10349,Saint-Lyé,Plus de 20 k€
10350,Saint-Mards-en-Othe,Pas de sinistre répertorié à CCR
10351,Saint-Martin-de-Bossenay,Pas de sinistre répertorié à CCR
10352,Sainte-Maure,Pas de sinistre répertorié à CCR
10353,Saint-Mesmin,Pas de sinistre répertorié à CCR
10354,Saint-Nabord-sur-Aube,Pas de sinistre répertorié à CCR
10355,Saint-Nicolas-la-Chapelle,Pas de sinistre répertorié à CCR
10356,Saint-Oulph,Pas de sinistre répertorié à CCR
10357,Saint-Parres-aux-Tertres,Entre 10 et 20k€
10358,Saint-Parres-lès-Vaudes,Pas de sinistre répertorié à CCR
10359,Saint-Phal,"Entre 2,5 et 5 k€"
10360,Saint-Pouange,Pas de sinistre répertorié à CCR
10361,Saint-Remy-sous-Barbuise,Pas de sinistre répertorié à CCR
10362,Sainte-Savine,Pas de sinistre répertorié à CCR
10363,Saint-Thibault,Pas de sinistre répertorié à CCR
10364,Saint-Usage,Pas de sinistre répertorié à CCR
10365,Salon,Pas de sinistre répertorié à CCR
10366,Saulcy,Plus de 20 k€
10367,La Saulsotte,Pas de sinistre répertorié à CCR
10368,Savières,Pas de sinistre répertorié à CCR
10369,Semoine,Pas de sinistre répertorié à CCR
10370,Soligny-les-Étangs,Pas de sinistre répertorié à CCR
10371,Sommeval,Pas de sinistre répertorié à CCR
10372,Soulaines-Dhuys,Pas de sinistre répertorié à CCR
10373,Souligny,Pas de sinistre répertorié à CCR
10374,Spoy,Pas de sinistre répertorié à CCR
10375,Thennelières,Pas de sinistre répertorié à CCR
10376,Thieffrain,Pas de sinistre répertorié à CCR
10377,Thil,Pas de sinistre répertorié à CCR
10378,Thors,Pas de sinistre répertorié à CCR
10379,Torcy-le-Grand,Pas de sinistre répertorié à CCR
10380,Torcy-le-Petit,Pas de sinistre répertorié à CCR
10381,Torvilliers,Pas de sinistre répertorié à CCR
10382,Traînel,Pas de sinistre répertorié à CCR
10383,Trancault,Pas de sinistre répertorié à CCR
10384,Trannes,Pas de sinistre répertorié à CCR
10386,Trouans,Pas de sinistre répertorié à CCR
10387,Troyes,Entre 10 et 20k€
10388,Turgy,Pas de sinistre répertorié à CCR
10389,Unienville,Pas de sinistre répertorié à CCR
10390,Urville,Pas de sinistre répertorié à CCR
10391,Vailly,Pas de sinistre répertorié à CCR
10392,Vallant-Saint-Georges,Pas de sinistre répertorié à CCR
10393,Vallentigny,"Entre 2,5 et 5 k€"
10394,Vallières,"Entre 0 et 2,5 k€"
10395,Vanlay,Pas de sinistre répertorié à CCR
10396,Vauchassis,Pas de sinistre répertorié à CCR
10397,Vauchonvilliers,"Entre 0 et 2,5 k€"
10398,Vaucogne,Pas de sinistre répertorié à CCR
10399,Vaudes,Pas de sinistre répertorié à CCR
10400,Vaupoisson,Pas de sinistre répertorié à CCR
10401,Vendeuvre-sur-Barse,"Entre 2,5 et 5 k€"
10402,La Vendue-Mignot,Entre 5 et 10 k€
10403,Vernonvilliers,Pas de sinistre répertorié à CCR
10404,Verpillières-sur-Ource,Pas de sinistre répertorié à CCR
10405,Verricourt,Pas de sinistre répertorié à CCR
10406,Verrières,Entre 10 et 20k€
10408,Viâpres-le-Petit,Pas de sinistre répertorié à CCR
10409,Villacerf,Pas de sinistre répertorié à CCR
10410,Villadin,Pas de sinistre répertorié à CCR
10411,La Ville-aux-Bois,Pas de sinistre répertorié à CCR
10412,Villechétif,Pas de sinistre répertorié à CCR
10414,Villeloup,Pas de sinistre répertorié à CCR
10416,Villemereuil,Entre 5 et 10 k€
10417,Villemoiron-en-Othe,Pas de sinistre répertorié à CCR
10418,Villemorien,Pas de sinistre répertorié à CCR
10419,Villemoyenne,Pas de sinistre répertorié à CCR
10420,Villenauxe-la-Grande,Pas de sinistre répertorié à CCR
10421,La Villeneuve-au-Châtelot,Pas de sinistre répertorié à CCR
10422,Villeneuve-au-Chemin,Pas de sinistre répertorié à CCR
10423,La Villeneuve-au-Chêne,"Entre 2,5 et 5 k€"
10424,Villeret,Pas de sinistre répertorié à CCR
10425,Villery,Pas de sinistre répertorié à CCR
10426,Ville-sous-la-Ferté,Pas de sinistre répertorié à CCR
10427,Ville-sur-Arce,Pas de sinistre répertorié à CCR
10428,Ville-sur-Terre,Pas de sinistre répertorié à CCR
10429,Villette-sur-Aube,Pas de sinistre répertorié à CCR
10430,Villiers-Herbisse,Pas de sinistre répertorié à CCR
10431,Villiers-le-Bois,Pas de sinistre répertorié à CCR
10432,Villiers-sous-Praslin,"Entre 2,5 et 5 k€"
10433,Villy-en-Trodes,"Entre 0 et 2,5 k€"
10434,Villy-le-Bois,Pas de sinistre répertorié à CCR
10435,Villy-le-Maréchal,Pas de sinistre répertorié à CCR
10436,Vinets,Pas de sinistre répertorié à CCR
10437,Virey-sous-Bar,Pas de sinistre répertorié à CCR
10438,Vitry-le-Croisé,Pas de sinistre répertorié à CCR
10439,Viviers-sur-Artaut,Pas de sinistre répertorié à CCR
10440,Voigny,Pas de sinistre répertorié à CCR
10441,Vosnon,"Entre 0 et 2,5 k€"
10442,Voué,Pas de sinistre répertorié à CCR
10443,Vougrey,Pas de sinistre répertorié à CCR
10444,Vulaines,Pas de sinistre répertorié à CCR
10445,Yèvres-le-Petit,Pas de sinistre répertorié à CCR
11001,Aigues-Vives,Entre 10 et 20k€
11002,Airoux,"Entre 2,5 et 5 k€"
11003,Ajac,"Entre 0 et 2,5 k€"
11004,Alaigne,Plus de 20 k€
11005,Alairac,Entre 10 et 20k€
11006,Albas,Pas de sinistre répertorié à CCR
11007,Albières,Pas de sinistre répertorié à CCR
11008,Alet-les-Bains,Entre 5 et 10 k€
11009,Alzonne,Plus de 20 k€
11010,Antugnac,Plus de 20 k€
11011,Aragon,Plus de 20 k€
11012,Argeliers,"Entre 0 et 2,5 k€"
11013,Argens-Minervois,Plus de 20 k€
11014,Armissan,Pas de sinistre répertorié à CCR
11015,Arques,Pas de sinistre répertorié à CCR
11016,Arquettes-en-Val,Entre 10 et 20k€
11017,Artigues,Pas de sinistre répertorié à CCR
11018,Arzens,Entre 5 et 10 k€
11019,Aunat,Pas de sinistre répertorié à CCR
11020,Auriac,Pas de sinistre répertorié à CCR
11021,Axat,Pas de sinistre répertorié à CCR
11022,Azille,Plus de 20 k€
11023,Badens,"Entre 0 et 2,5 k€"
11024,Bages,Pas de sinistre répertorié à CCR
11025,Bagnoles,"Entre 2,5 et 5 k€"
11026,Baraigne,Pas de sinistre répertorié à CCR
11027,Barbaira,Pas de sinistre répertorié à CCR
11028,Belcaire,Pas de sinistre répertorié à CCR
11029,Belcastel-et-Buc,Pas de sinistre répertorié à CCR
11030,Belflou,Pas de sinistre répertorié à CCR
11031,Belfort-sur-Rebenty,Pas de sinistre répertorié à CCR
11032,Bellegarde-du-Razès,"Entre 0 et 2,5 k€"
11033,Belpech,Entre 10 et 20k€
11034,Belvèze-du-Razès,Entre 10 et 20k€
11035,Belvianes-et-Cavirac,Pas de sinistre répertorié à CCR
11036,Belvis,Pas de sinistre répertorié à CCR
11037,Berriac,"Entre 0 et 2,5 k€"
11038,Bessède-de-Sault,Pas de sinistre répertorié à CCR
11039,La Bezole,Pas de sinistre répertorié à CCR
11040,Bizanet,"Entre 2,5 et 5 k€"
11041,Bize-Minervois,Plus de 20 k€
11042,Blomac,Pas de sinistre répertorié à CCR
11043,Bouilhonnac,Pas de sinistre répertorié à CCR
11044,Bouisse,Pas de sinistre répertorié à CCR
11045,Bouriège,Entre 10 et 20k€
11046,Bourigeole,"Entre 0 et 2,5 k€"
11047,Le Bousquet,Pas de sinistre répertorié à CCR
11048,Boutenac,"Entre 0 et 2,5 k€"
11049,Bram,"Entre 2,5 et 5 k€"
11051,Brézilhac,"Entre 0 et 2,5 k€"
11052,Brousses-et-Villaret,Pas de sinistre répertorié à CCR
11053,Brugairolles,Pas de sinistre répertorié à CCR
11054,Les Brunels,Entre 10 et 20k€
11055,Bugarach,Pas de sinistre répertorié à CCR
11056,Cabrespine,Pas de sinistre répertorié à CCR
11057,Cahuzac,Pas de sinistre répertorié à CCR
11058,Cailhau,Entre 5 et 10 k€
11059,Cailhavel,Pas de sinistre répertorié à CCR
11060,Cailla,Pas de sinistre répertorié à CCR
11061,Cambieure,Entre 5 et 10 k€
11062,Campagna-de-Sault,Pas de sinistre répertorié à CCR
11063,Campagne-sur-Aude,Entre 10 et 20k€
11064,Camplong-d'Aude,Plus de 20 k€
11065,Camps-sur-l'Agly,Entre 10 et 20k€
11066,Camurac,Pas de sinistre répertorié à CCR
11067,Canet,Pas de sinistre répertorié à CCR
11068,Capendu,Entre 5 et 10 k€
11069,Carcassonne,Entre 10 et 20k€
11070,Carlipa,"Entre 2,5 et 5 k€"
11071,Cascastel-des-Corbières,Pas de sinistre répertorié à CCR
11072,La Cassaigne,"Entre 0 et 2,5 k€"
11073,Cassaignes,Pas de sinistre répertorié à CCR
11074,Les Cassés,Plus de 20 k€
11075,Castans,Pas de sinistre répertorié à CCR
11076,Castelnaudary,Entre 10 et 20k€
11077,Castelnau-d'Aude,Entre 10 et 20k€
11078,Castelreng,Entre 5 et 10 k€
11079,Caudebronde,Pas de sinistre répertorié à CCR
11080,Val de Lambronne,Pas de sinistre répertorié à CCR
11081,Caunes-Minervois,Entre 10 et 20k€
11082,Caunette-sur-Lauquet,Pas de sinistre répertorié à CCR
11083,Caunettes-en-Val,Pas de sinistre répertorié à CCR
11084,Caux-et-Sauzens,Entre 10 et 20k€
11085,Cavanac,Entre 5 et 10 k€
11086,Caves,Pas de sinistre répertorié à CCR
11087,Cazalrenoux,Pas de sinistre répertorié à CCR
11088,Cazilhac,"Entre 0 et 2,5 k€"
11089,Cenne-Monestiés,"Entre 0 et 2,5 k€"
11090,Cépie,Entre 10 et 20k€
11091,Chalabre,Pas de sinistre répertorié à CCR
11092,Citou,Pas de sinistre répertorié à CCR
11093,Le Clat,Pas de sinistre répertorié à CCR
11094,Clermont-sur-Lauquet,Pas de sinistre répertorié à CCR
11095,Comigne,Entre 10 et 20k€
11096,Comus,Pas de sinistre répertorié à CCR
11098,Conilhac-Corbières,Entre 10 et 20k€
11099,Conques-sur-Orbiel,Entre 10 et 20k€
11100,Corbières,Pas de sinistre répertorié à CCR
11101,Coudons,Pas de sinistre répertorié à CCR
11102,Couffoulens,Pas de sinistre répertorié à CCR
11103,Couiza,Entre 5 et 10 k€
11104,Counozouls,Pas de sinistre répertorié à CCR
11105,Cournanel,Entre 10 et 20k€
11106,Coursan,Pas de sinistre répertorié à CCR
11107,Courtauly,Entre 10 et 20k€
11108,La Courtète,Entre 5 et 10 k€
11109,Coustaussa,Pas de sinistre répertorié à CCR
11110,Coustouge,Entre 10 et 20k€
11111,Cruscades,Pas de sinistre répertorié à CCR
11112,Cubières-sur-Cinoble,Entre 10 et 20k€
11113,Cucugnan,Pas de sinistre répertorié à CCR
11114,Cumiès,Pas de sinistre répertorié à CCR
11115,Cuxac-Cabardès,Pas de sinistre répertorié à CCR
11116,Cuxac-d'Aude,"Entre 0 et 2,5 k€"
11117,Davejean,Pas de sinistre répertorié à CCR
11118,Dernacueillette,Pas de sinistre répertorié à CCR
11119,La Digne-d'Amont,Plus de 20 k€
11120,La Digne-d'Aval,"Entre 0 et 2,5 k€"
11121,Donazac,Pas de sinistre répertorié à CCR
11122,Douzens,Plus de 20 k€
11123,Duilhac-sous-Peyrepertuse,"Entre 2,5 et 5 k€"
11124,Durban-Corbières,"Entre 2,5 et 5 k€"
11125,Embres-et-Castelmaure,Pas de sinistre répertorié à CCR
11126,Escales,"Entre 2,5 et 5 k€"
11127,Escouloubre,Pas de sinistre répertorié à CCR
11128,Escueillens-et-Saint-Just-de-Bélengard,"Entre 0 et 2,5 k€"
11129,Espéraza,Entre 10 et 20k€
11130,Espezel,Pas de sinistre répertorié à CCR
11131,Val-du-Faby,"Entre 2,5 et 5 k€"
11132,Fabrezan,Entre 10 et 20k€
11133,Fajac-en-Val,Pas de sinistre répertorié à CCR
11134,Fajac-la-Relenque,Entre 10 et 20k€
11135,La Fajolle,Pas de sinistre répertorié à CCR
11136,Fanjeaux,Entre 5 et 10 k€
11137,Félines-Termenès,Pas de sinistre répertorié à CCR
11138,Fendeille,"Entre 2,5 et 5 k€"
11139,Fenouillet-du-Razès,"Entre 0 et 2,5 k€"
11140,Ferrals-les-Corbières,Pas de sinistre répertorié à CCR
11141,Ferran,Pas de sinistre répertorié à CCR
11142,Festes-et-Saint-André,Pas de sinistre répertorié à CCR
11143,Feuilla,Pas de sinistre répertorié à CCR
11144,Fitou,Pas de sinistre répertorié à CCR
11145,Fleury,Pas de sinistre répertorié à CCR
11146,Floure,Pas de sinistre répertorié à CCR
11147,Fontanès-de-Sault,Pas de sinistre répertorié à CCR
11148,Fontcouverte,Plus de 20 k€
11149,Fonters-du-Razès,"Entre 0 et 2,5 k€"
11150,Fontiers-Cabardès,Pas de sinistre répertorié à CCR
11151,Fontiès-d'Aude,"Entre 0 et 2,5 k€"
11152,Fontjoncouse,"Entre 0 et 2,5 k€"
11153,La Force,Entre 10 et 20k€
11154,Fournes-Cabardès,Pas de sinistre répertorié à CCR
11155,Fourtou,Pas de sinistre répertorié à CCR
11156,Fraisse-Cabardès,Entre 10 et 20k€
11157,Fraissé-des-Corbières,Entre 5 et 10 k€
11158,Gaja-et-Villedieu,Entre 5 et 10 k€
11159,Gaja-la-Selve,Pas de sinistre répertorié à CCR
11160,Galinagues,Pas de sinistre répertorié à CCR
11161,Gardie,"Entre 0 et 2,5 k€"
11162,Generville,Pas de sinistre répertorié à CCR
11163,Gincla,Pas de sinistre répertorié à CCR
11164,Ginestas,Plus de 20 k€
11165,Ginoles,Entre 5 et 10 k€
11166,Gourvieille,Pas de sinistre répertorié à CCR
11167,Gramazie,Entre 5 et 10 k€
11168,Granès,Entre 10 et 20k€
11169,Greffeil,Plus de 20 k€
11170,Gruissan,Pas de sinistre répertorié à CCR
11172,Homps,Pas de sinistre répertorié à CCR
11173,Hounoux,Pas de sinistre répertorié à CCR
11174,Les Ilhes,Pas de sinistre répertorié à CCR
11175,Issel,Plus de 20 k€
11176,Jonquières,Pas de sinistre répertorié à CCR
11177,Joucou,Pas de sinistre répertorié à CCR
11178,Labastide-d'Anjou,Entre 5 et 10 k€
11179,Labastide-en-Val,Plus de 20 k€
11180,Labastide-Esparbairenque,Pas de sinistre répertorié à CCR
11181,Labécède-Lauragais,Plus de 20 k€
11182,Lacombe,Pas de sinistre répertorié à CCR
11183,Ladern-sur-Lauquet,Pas de sinistre répertorié à CCR
11184,Lafage,Pas de sinistre répertorié à CCR
11185,Lagrasse,Pas de sinistre répertorié à CCR
11186,Lairière,Pas de sinistre répertorié à CCR
11187,Lanet,Pas de sinistre répertorié à CCR
11188,La Palme,Pas de sinistre répertorié à CCR
11189,Laprade,Pas de sinistre répertorié à CCR
11190,La Redorte,Pas de sinistre répertorié à CCR
11191,Laroque-de-Fa,"Entre 0 et 2,5 k€"
11192,Lasbordes,Entre 5 et 10 k€
11193,Lasserre-de-Prouille,Entre 10 et 20k€
11194,Lastours,Pas de sinistre répertorié à CCR
11195,Laurabuc,"Entre 0 et 2,5 k€"
11196,Laurac,Entre 10 et 20k€
11197,Lauraguel,"Entre 2,5 et 5 k€"
11198,Laure-Minervois,"Entre 0 et 2,5 k€"
11199,Lavalette,Entre 5 et 10 k€
11200,Lespinassière,Pas de sinistre répertorié à CCR
11201,Leuc,Pas de sinistre répertorié à CCR
11202,Leucate,Entre 10 et 20k€
11203,Lézignan-Corbières,Entre 10 et 20k€
11204,Lignairolles,Pas de sinistre répertorié à CCR
11205,Limousis,Pas de sinistre répertorié à CCR
11206,Limoux,Entre 10 et 20k€
11207,Loupia,"Entre 2,5 et 5 k€"
11208,La Louvière-Lauragais,Entre 10 et 20k€
11209,Luc-sur-Aude,Entre 10 et 20k€
11210,Luc-sur-Orbieu,Pas de sinistre répertorié à CCR
11211,Magrie,Entre 10 et 20k€
11212,Mailhac,Entre 10 et 20k€
11213,Maisons,Pas de sinistre répertorié à CCR
11214,Malras,"Entre 2,5 et 5 k€"
11215,Malves-en-Minervois,Entre 5 et 10 k€
11216,Malviès,Plus de 20 k€
11217,Marcorignan,Pas de sinistre répertorié à CCR
11218,Marquein,Plus de 20 k€
11219,Marsa,Pas de sinistre répertorié à CCR
11220,Marseillette,"Entre 0 et 2,5 k€"
11221,Les Martys,Pas de sinistre répertorié à CCR
11222,Mas-Cabardès,Pas de sinistre répertorié à CCR
11223,Mas-des-Cours,Pas de sinistre répertorié à CCR
11224,Massac,Pas de sinistre répertorié à CCR
11225,Mas-Saintes-Puelles,Entre 10 et 20k€
11226,Mayreville,Pas de sinistre répertorié à CCR
11227,Mayronnes,Entre 10 et 20k€
11228,Mazerolles-du-Razès,Pas de sinistre répertorié à CCR
11229,Mazuby,Pas de sinistre répertorié à CCR
11230,Mérial,Pas de sinistre répertorié à CCR
11231,Mézerville,Plus de 20 k€
11232,Miraval-Cabardès,Pas de sinistre répertorié à CCR
11233,Mirepeisset,Entre 10 et 20k€
11234,Mireval-Lauragais,"Entre 0 et 2,5 k€"
11235,Missègre,Pas de sinistre répertorié à CCR
11236,Molandier,Pas de sinistre répertorié à CCR
11238,Molleville,Pas de sinistre répertorié à CCR
11239,Montauriol,"Entre 0 et 2,5 k€"
11240,Montazels,Entre 10 et 20k€
11241,Montbrun-des-Corbières,Plus de 20 k€
11242,Montclar,"Entre 2,5 et 5 k€"
11243,Montferrand,"Entre 0 et 2,5 k€"
11244,Montfort-sur-Boulzane,Pas de sinistre répertorié à CCR
11245,Montgaillard,Entre 5 et 10 k€
11246,Montgradail,Pas de sinistre répertorié à CCR
11247,Monthaut,Pas de sinistre répertorié à CCR
11248,Montirat,Entre 5 et 10 k€
11249,Montjardin,Entre 5 et 10 k€
11250,Montjoi,Pas de sinistre répertorié à CCR
11251,Val-de-Dagne,Plus de 20 k€
11252,Montmaur,Entre 10 et 20k€
11253,Montolieu,Entre 10 et 20k€
11254,Montréal,"Entre 2,5 et 5 k€"
11255,Montredon-des-Corbières,Plus de 20 k€
11256,Montséret,Entre 10 et 20k€
11257,Monze,Entre 5 et 10 k€
11258,Moussan,Entre 10 et 20k€
11259,Moussoulens,Plus de 20 k€
11260,Mouthoumet,Pas de sinistre répertorié à CCR
11261,Moux,Entre 5 et 10 k€
11262,Narbonne,Plus de 20 k€
11263,Nébias,Pas de sinistre répertorié à CCR
11264,Névian,Entre 5 et 10 k€
11265,Niort-de-Sault,Pas de sinistre répertorié à CCR
11266,Port-la-Nouvelle,Pas de sinistre répertorié à CCR
11267,Ornaisons,"Entre 0 et 2,5 k€"
11268,Orsans,Pas de sinistre répertorié à CCR
11269,Ouveillan,Plus de 20 k€
11270,Padern,Pas de sinistre répertorié à CCR
11271,Palairac,Pas de sinistre répertorié à CCR
11272,Palaja,Entre 10 et 20k€
11273,Paraza,Entre 5 et 10 k€
11274,Pauligne,Entre 10 et 20k€
11275,Payra-sur-l'Hers,"Entre 0 et 2,5 k€"
11276,Paziols,"Entre 0 et 2,5 k€"
11277,Pécharic-et-le-Py,"Entre 0 et 2,5 k€"
11278,Pech-Luna,"Entre 2,5 et 5 k€"
11279,Pennautier,Entre 10 et 20k€
11280,Pépieux,Pas de sinistre répertorié à CCR
11281,Pexiora,Entre 10 et 20k€
11282,Peyrefitte-du-Razès,Pas de sinistre répertorié à CCR
11283,Peyrefitte-sur-l'Hers,Pas de sinistre répertorié à CCR
11284,Peyrens,Entre 10 et 20k€
11285,Peyriac-de-Mer,"Entre 2,5 et 5 k€"
11286,Peyriac-Minervois,Plus de 20 k€
11287,Peyrolles,"Entre 0 et 2,5 k€"
11288,Pezens,Entre 10 et 20k€
11289,Pieusse,Entre 5 et 10 k€
