#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h52 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HadREM3-GA7_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
567;41.5579;9.0791;GWL30;16.9;25.83;9.46;29.95;16.9;55.5;89.3;1001.85;83.73;287.9;42.86;101.59;4;158;3.53;4.67;2.96;5.01;15.6;42;66;0.3;30;-0.06;-0.12;-0.06;0.14;0.26;
568;41.5517;9.1743;GWL30;18.44;26.81;11.31;31.17;18.5;66.8;102.3;779.89;60.35;220.78;33.97;83.89;4.4;199;3.33;4.06;2.97;3.94;16.5;43.8;73.8;0.8;15;0;-0.06;-0.08;0.13;0.4;
569;41.5454;9.2694;GWL30;18.91;27.21;11.99;31.72;20;73.9;107.3;845.04;64.02;268.38;36.94;146.33;4.6;214;3.34;4.05;3.15;3.98;17.8;48;75.5;0.9;24;0.08;0.04;0.1;0.2;0.75;
707;41.6474;8.8014;GWL30;18.07;25.46;11.28;29.13;3.8;35.3;94.1;736.32;56.52;180.91;31.98;72.43;4.4;193;2.83;3.06;2.61;2.7;3.5;26.5;69.1;0.7;26;0.01;-0.11;-0.08;0.16;0.55;
708;41.6415;8.8967;GWL30;17.52;25.33;10.69;29.63;8.3;49.8;75.4;791.96;48.16;202.33;34.37;85.24;4.1;179;2.84;3.33;2.67;3.66;8;38.5;49.8;0.4;19;-0.02;-0.29;-0.05;0.15;0.38;
709;41.6355;8.992;GWL30;17.53;25.47;10.54;29.62;9.7;51.8;84.8;768.84;55.51;195.42;35.49;63.75;4.5;175;3.03;3.62;2.73;3.76;9.3;38.6;60.4;0.9;24;-0.06;-0.22;-0.1;0.11;0.03;
710;41.6294;9.0873;GWL30;17.05;25.92;9.62;30.11;17;56.2;89.6;982.56;81.99;282.39;42.11;100.7;4;157;3.46;4.56;2.9;4.87;15.8;41.8;65.9;0.3;32;-0.06;-0.12;-0.06;0.15;0.26;
711;41.6232;9.1826;GWL30;17.01;25.89;9.57;30.06;17;55.8;89.6;988.94;82.55;284.09;42.28;100.98;4.1;167;3.48;4.6;2.92;4.92;15.8;41.8;66;0.4;28;-0.06;-0.12;-0.06;0.15;0.26;
712;41.6169;9.2779;GWL30;18.73;26.87;11.79;31.14;13.5;69.7;109.2;929.91;63.11;302.57;43.46;152.62;4.8;199;3.04;3.54;2.85;3.47;12.5;45.5;68.8;1.1;20;0.06;0.05;0.09;0.19;0.65;
849;41.7248;8.7138;GWL30;18.23;25.7;11.51;29.38;5.3;39.2;101.2;695.26;47.02;180.07;31.35;64.45;3.5;201;2.96;3.27;2.8;2.95;5;30.1;74.3;-0.2;37;-0.07;-0.27;-0.09;0.15;0.16;
850;41.719;8.8093;GWL30;18.21;25.7;11.48;29.37;5.3;39.7;101.4;696.45;47.13;180.15;31.41;64.52;3.5;201;2.96;3.28;2.79;2.95;5;30.6;74.6;-0.2;35;-0.07;-0.27;-0.09;0.15;0.16;
851;41.713;8.9047;GWL30;17.39;25.38;10.45;29.78;9.9;53.7;75.3;816.73;49.55;209.41;35.34;86.47;4.2;173;2.97;3.57;2.72;3.97;9.4;40.2;51;0.5;21;-0.02;-0.29;-0.05;0.14;0.37;
852;41.707;9.0001;GWL30;17.22;25.7;10.04;30.36;15.1;57.7;79.2;957.04;62.16;266.72;39.71;91.13;4.3;161;3.15;3.9;2.83;4.48;14.1;40.4;53.6;0.7;24;-0.04;-0.3;-0.06;0.12;0.33;
853;41.7009;9.0955;GWL30;17.09;26.24;9.56;30.6;22.1;60;85.1;967.31;73.48;274.73;39.45;87.75;4;162;3.47;4.86;2.81;5.34;21;45.3;61.2;0.4;32;-0.07;-0.21;-0.07;0.09;0.24;
854;41.6946;9.1909;GWL30;15.96;25.14;8.45;28.39;8.9;43.3;84.2;1153.39;96.45;326.88;49.99;156.41;4.3;150;3.69;5.07;3.07;5.18;8.7;36.2;64.5;0.7;28;-0.02;-0.06;-0.04;0.22;0.48;
855;41.6884;9.2863;GWL30;17.79;26.69;10.46;30.98;17.6;64.1;98.2;1028.2;66.71;327.72;48.84;159.6;4.7;176;3.32;4.35;2.89;4.56;16.5;44.3;64.5;1.1;16;0.05;-0.05;0.1;0.27;0.49;
856;41.682;9.3817;GWL30;18.94;26.94;12.15;31.12;11.4;68.9;110.7;987.85;68.04;324.65;47.06;196.22;5.2;203;3.06;3.47;3;3.3;10.5;43.5;68.4;1.7;19;0.12;0.13;0.17;0.31;0.81;
992;41.7963;8.7216;GWL30;18.15;25.69;11.37;29.33;5.3;38.8;101.2;703.24;47.58;181.94;31.79;64.85;3.5;200;2.97;3.33;2.78;3;5;29.7;74.6;-0.1;37;-0.07;-0.27;-0.09;0.15;0.16;
993;41.7905;8.8171;GWL30;17.52;25.8;10.29;29.38;6.6;47.8;102.9;793.89;53.47;206.1;35.68;69.2;3.5;180;3.41;4.28;2.87;3.93;6.2;35.2;80.3;0;39;-0.07;-0.28;-0.09;0.14;0.14;
994;41.7845;8.9127;GWL30;17.82;26.28;10.8;31.06;17.6;64.7;85.3;906.4;54.17;252.33;37.63;93.59;4;167;3.14;3.93;2.95;4.47;16.5;44.8;55.9;0.4;20;-0.04;-0.36;-0.07;0.12;0.38;
995;41.7785;9.0083;GWL30;15.78;24.59;8.57;28.32;8.1;42;71.4;1094.41;66.51;304.58;45.82;102.54;4;147;3.56;4.56;3.24;5.16;7.9;35;52;0.4;28;-0.05;-0.36;-0.08;0.12;0.32;
996;41.7724;9.1038;GWL30;15.3;24.62;7.63;28.13;6.7;38.5;72.2;1276.77;97.61;397.54;51.28;96.82;4.2;140;3.63;5.1;2.88;5.53;6.7;34.6;56.5;0.4;32;-0.06;-0.26;-0.02;0.09;0.18;
997;41.7661;9.1993;GWL30;15.03;24.06;7.63;27.08;3.3;30;72.1;1403.1;121.04;433.09;59.88;172.2;4.2;138;3.62;4.8;3.12;4.88;3.3;26.9;57.4;0.6;32;-0.01;-0.07;0.02;0.26;0.44;
998;41.7598;9.2948;GWL30;16.79;25.8;9.36;30.04;14.7;54.9;83.8;1252.99;106.86;383.69;53.54;164.41;4.2;149;3.47;4.63;3.01;4.86;14;41.4;62.5;0.5;26;0.01;-0.07;0.03;0.29;0.48;
999;41.7535;9.3902;GWL30;18.67;26.81;11.76;31.01;11.7;66.9;108.8;1010.21;69.86;332.08;48.19;197.28;5.2;200;3.09;3.59;2.94;3.47;10.8;43.2;68.4;1.7;20;0.11;0.12;0.16;0.31;0.8;
1134;41.8737;8.6336;GWL30;18.48;26.01;11.63;29.49;4.3;43.5;99.8;694.21;48.71;164.39;28.44;60.64;4.2;200;3.1;3.49;2.8;2.93;3.9;34.2;73.6;0.6;37;-0.07;-0.28;-0.16;0.04;-0.12;
1135;41.8679;8.7294;GWL30;18.45;25.91;11.87;29.69;7.2;46.2;104.2;714.03;46.8;186.11;31.93;63.54;4.8;180;3.07;3.39;3.05;3.14;6.8;37;76.7;1.3;26;-0.02;-0.28;-0.04;0.2;0.19;
1136;41.862;8.8251;GWL30;17.9;26.02;10.87;29.72;8.3;52;104.8;790.92;51.29;206.94;35.34;67.21;4.9;176;3.34;4.12;3;3.84;7.9;39.8;79.8;1.3;30;-0.03;-0.29;-0.04;0.2;0.16;
1137;41.856;8.9207;GWL30;16.96;25.73;9.77;30.23;16.9;56;80.8;1005.62;60.59;280.68;41.95;98.32;4.1;155;3.43;4.44;3.12;5.11;15.8;42;56.6;0.4;25;-0.04;-0.36;-0.07;0.12;0.34;
1138;41.85;9.0164;GWL30;17.27;26.59;9.58;31.03;24;63.2;90.8;948.49;69.1;278.06;38.64;78.09;4.1;162;3.51;5.08;2.69;5.58;22.9;47.9;66.1;0.4;32;-0.07;-0.26;-0.05;0.07;0.22;
1139;41.8439;9.112;GWL30;13.35;22.53;5.88;25.22;0.6;16;55.1;1408.72;107.57;441.65;56.08;103.75;4.2;127;3.61;4.97;2.95;5.17;0.6;15.7;47.3;0.6;30;-0.06;-0.26;-0.01;0.09;0.17;
1140;41.8376;9.2077;GWL30;11.69;20.49;4.67;22.54;0;2.5;37;1599.22;133.57;520.25;71.74;145.64;4.9;116;3.52;4.64;3.2;4.59;0;2.5;34.2;1.2;29;-0.03;-0.12;0.06;0.26;0.31;
1141;41.8313;9.3033;GWL30;17.23;26.53;9.64;30.53;17.5;58.3;95.2;1006.85;66.03;326.45;50.56;119.43;4.8;170;3.39;4.75;2.72;5.06;17;44;63.9;1.2;24;0.01;-0.09;0.07;0.27;0.36;
1142;41.8249;9.3988;GWL30;18.51;26.32;11.75;29.89;4.4;49.4;107.9;1049.35;65.33;332.72;62.24;225.73;5.1;190;2.77;2.9;2.84;2.82;4.3;35.8;58.8;1.5;17;0.18;-0.05;0.3;0.51;0.84;
1276;41.9509;8.5455;GWL30;18.48;26.01;11.63;29.49;4.3;43.5;99.8;694.21;48.71;164.39;28.44;60.64;4.2;199;3.1;3.49;2.8;2.93;3.9;34.2;73.6;0.6;36;-0.07;-0.28;-0.16;0.04;-0.12;
1277;41.9452;8.6413;GWL30;18.07;26;10.93;29.39;3.6;45.3;99.7;743.19;52.07;175.46;30.45;63.21;4.1;188;3.24;3.9;2.73;3.31;3.3;35.3;75.3;0.5;34;-0.07;-0.28;-0.17;0.03;-0.11;
1278;41.9394;8.7372;GWL30;18.05;25.87;11.21;29.54;5.8;45.8;103.8;760.53;49.51;198.72;33.97;65.74;4.8;175;3.18;3.73;2.96;3.44;5.6;36.2;77.6;1.3;25;-0.02;-0.28;-0.04;0.2;0.17;
1279;41.9335;8.833;GWL30;18.1;25.85;11.3;29.53;5.5;44.7;103.9;753.87;49.09;197.27;33.65;65.42;4.9;178;3.15;3.65;2.96;3.37;5.2;35.6;77.4;1.3;23;-0.02;-0.28;-0.04;0.2;0.18;
1280;41.9276;8.9288;GWL30;16.94;25.44;9.9;29.77;13.7;52.7;75.4;900.57;48.8;236.06;37.45;96.07;4.3;163;3.29;4.32;2.94;4.95;13.3;42.1;53.6;0.7;22;-0.01;-0.39;-0.02;0.1;0.44;
1281;41.9215;9.0246;GWL30;15.02;24.37;7.24;27.73;5.6;36.2;71.6;1157.18;82.76;346.53;45.48;88.11;4.2;140;3.74;5.28;2.81;5.81;5.6;33.3;56.9;0.6;26;-0.05;-0.26;0.01;0.08;0.3;
1282;41.9154;9.1203;GWL30;15.47;24.71;7.72;28.52;7.2;44.1;72.1;1317.7;97.06;419.89;51.74;99.69;4.6;132;3.6;5;2.76;5.59;7.2;39;56.3;0.9;24;-0.02;-0.25;0.05;0.13;0.3;
1283;41.9091;9.216;GWL30;12.51;21.36;5.29;24.53;0;10.6;28.5;1233.44;101.63;407.73;57.47;110.55;5.3;132;3.42;4.58;2.92;4.92;0;10.6;26.2;1.7;29;0.02;-0.14;0.17;0.32;0.33;
1284;41.9028;9.3118;GWL30;16.98;25.45;9.86;29.3;5.8;44.2;89.8;1193.96;72.65;370.2;71.55;224.34;4.8;156;3.19;3.71;3.06;3.85;5.7;32.2;61.3;1.2;26;0.18;-0.09;0.26;0.51;0.84;
1285;41.8964;9.4075;GWL30;18.8;26.52;12.13;29.95;4.4;50;112.9;1028.73;63.68;325.49;61.39;223.89;5.2;198;2.73;2.82;2.85;2.71;4.3;36.3;58.3;1.6;17;0.19;-0.05;0.31;0.52;0.85;
1420;42.0168;8.649;GWL30;18.16;25.67;11.57;29.45;5.2;43.5;98.9;761.76;46.93;198.59;32.43;82.16;4.6;173;2.89;3.22;2.86;3.01;4.8;34.6;71.1;0.9;18;0;-0.3;0.01;0.14;0.26;
1421;42.011;8.745;GWL30;17.69;25.8;10.7;29.57;6.3;50.8;99.4;832.25;51.02;217.96;35.42;85.42;4.6;170;3.16;3.9;2.86;3.71;5.8;38.3;74.3;0.9;20;0;-0.3;0.01;0.13;0.24;
1422;42.0051;8.8409;GWL30;17.51;25.87;10.57;30.36;14.6;59.6;77.8;835.33;45.54;227.76;36.54;93.11;3.7;169;3.14;4.1;2.89;4.59;14.1;45.9;52.3;0;17;-0.02;-0.41;0;0.11;0.46;
1423;41.9991;8.9368;GWL30;16.14;25.19;8.86;29.18;13.1;48.7;72.8;1093.55;65.55;317.11;45.36;104.35;3.8;144;3.54;4.79;3.15;5.47;12.7;40.2;51.9;0.2;26;-0.04;-0.39;-0.03;0.1;0.4;
1424;41.993;9.0327;GWL30;15.13;24.62;7.26;27.98;6.4;38.8;75.1;1135;82.36;346.41;44.4;81.69;4.2;147;3.8;5.48;2.79;5.97;6.4;35.8;60.8;0.5;31;-0.06;-0.25;0;0.04;0.14;
1425;41.9869;9.1286;GWL30;12.35;21.25;5.04;23.87;0;5.8;40.2;1545.88;113.32;506.3;61.1;110.35;5.3;119;3.56;4.73;2.97;5.01;0;5.8;36.4;1.7;31;-0.02;-0.25;0.09;0.15;0.27;
1426;41.9806;9.2245;GWL30;12.84;21.73;5.57;25.03;0.2;13.7;32.2;1212.39;99.88;402.65;56.82;109.24;5.2;134;3.43;4.62;2.91;4.97;0.2;13.6;29.5;1.6;30;0.02;-0.14;0.16;0.31;0.33;
1427;41.9743;9.3203;GWL30;17.16;25.55;10.08;29.51;5.8;47;90.3;1175.92;71.18;365.32;70.56;222.72;4.8;159;3.13;3.58;3.03;3.72;5.7;33.7;60.7;1.2;24;0.18;-0.09;0.25;0.51;0.85;
1428;41.9679;9.4161;GWL30;18.85;26.5;12.31;29.93;4.2;48.5;111.4;1028.55;60.29;315.2;61.41;210.91;4.9;190;2.73;2.75;2.95;2.66;4.1;34.6;56.1;1.3;20;0.22;-0.08;0.27;0.55;0.96;
1562;42.0941;8.5607;GWL30;18.45;26.12;11.58;29.43;4.9;44.7;102.2;714.89;47.98;201.41;29.4;81.17;3.8;176;3.06;3.59;2.75;2.88;4.6;35.3;75.2;0.2;22;-0.04;-0.29;0.04;-0.02;0.38;
1563;42.0883;8.6568;GWL30;18.12;25.55;11.62;29.63;7.4;46.3;88.7;756.5;47.19;207.81;32.15;94.13;3.8;176;2.75;3.03;2.81;3.1;7.1;36.9;61.2;0.1;22;-0.01;-0.3;0.05;0.11;0.34;
