#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h29 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : ALADIN63_CNRM-CM5
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
568;41.5517;9.1743;GWL20;17.37;25.16;10.43;29.48;5.2;46.7;69.7;812.32;64.68;238.92;35.61;62.34;4.8;41;193;2.24;2.45;1.97;2.3;3.2;22.9;39.3;1.1;11;13;0.05;-0.04;-0.01;0.13;0.02;
569;41.5454;9.2694;GWL20;17.82;25.47;11;29.87;5.8;51.6;72.8;773.11;62.15;226.51;33.98;60.65;4.8;46;197;2.22;2.36;2.03;2.16;3.6;25;39.9;1.2;10;9;0.05;-0.03;-0.01;0.13;0.02;
707;41.6474;8.8014;GWL20;17.1;24.18;10.42;27.97;1;21.7;60.2;774.85;51.79;231.15;31.02;46.69;5.1;12;170;1.82;1.78;1.65;1.6;0.7;12.2;33.1;1.4;1;-1;0.06;-0.17;0.12;0.13;-0.05;
708;41.6415;8.8967;GWL20;16.7;24.07;9.79;27.83;1.3;27;60.2;812.74;55.54;233.95;32.14;50.58;4.4;16;160;1.99;2.1;1.66;1.9;0.9;15.5;34.4;0.8;4;16;0.02;-0.15;0.03;0.07;-0.14;
709;41.6355;8.992;GWL20;16.58;24.06;9.58;27.84;1.8;30.4;59.7;832.51;56.75;239.68;32.89;51.5;4.4;17;155;2.05;2.22;1.68;2.03;1.3;17.1;34.4;0.8;5;19;0.02;-0.16;0.03;0.07;-0.14;
710;41.6294;9.0873;GWL20;15.91;23.99;8.53;27.79;3;32.8;60.5;1119.75;88.92;353.8;45.71;75.6;5.8;15;119;2.27;2.66;1.72;2.57;1.9;18;36.4;2;5;24;0.07;-0.08;0.11;0.21;0.09;
711;41.6232;9.1826;GWL20;15.85;23.95;8.47;27.72;3.2;32.2;60.3;1127.48;89.41;355.85;45.93;75.9;5.6;15;133;2.29;2.68;1.72;2.59;2.1;17.8;36.4;1.9;5;18;0.07;-0.08;0.11;0.21;0.09;
712;41.6169;9.2779;GWL20;17.73;25.26;10.86;29.54;2.2;47.1;78.1;901.7;63;271.99;42.47;74.42;5.2;14;174;2.01;1.98;1.79;1.89;1.3;22.2;37.4;1.6;4;8;0.09;-0.04;0.03;0.18;0.1;
849;41.7248;8.7138;GWL20;17.12;24.19;10.46;27.99;1;22.1;60.2;771.89;51.61;230.25;30.93;46.56;5.1;12;168;1.82;1.77;1.65;1.59;0.6;12.6;33;1.4;1;0;0.06;-0.17;0.12;0.13;-0.05;
850;41.719;8.8093;GWL20;17.11;24.18;10.44;27.98;1;22.1;60.2;773.73;51.71;230.82;30.99;46.64;5.1;12;170;1.82;1.78;1.65;1.59;0.7;12.5;33;1.4;1;0;0.06;-0.17;0.12;0.13;-0.05;
851;41.713;8.9047;GWL20;16.47;24.01;9.5;27.82;1.4;30.1;57.7;859.07;57.07;255.06;34.38;50.53;5.1;17;148;2.02;2.23;1.68;2.04;0.8;16.4;33;1.5;6;11;0.06;-0.17;0.11;0.13;-0.04;
852;41.707;9.0001;GWL20;16.24;24.12;8.98;28.18;4.7;35.5;59.5;1017.09;75.88;327.82;38.93;57;5.2;13;130;2.12;2.34;1.67;2.29;3.4;18.1;33.8;1.5;4;16;0.04;-0.11;0.07;0.11;-0.09;
853;41.7009;9.0955;GWL20;15.92;24.01;8.55;27.81;2.9;32.8;60.5;1118.15;88.76;353.16;45.58;75.52;5.7;15;123;2.27;2.66;1.72;2.56;1.8;18.1;36.3;2;5;20;0.07;-0.08;0.11;0.22;0.09;
854;41.6946;9.1909;GWL20;14.66;22.82;7.25;25.84;1;18;54;1225.43;96.49;386.6;49.9;80.25;5.3;17;114;2.37;2.77;1.8;2.61;0.8;10.7;34.8;1.8;6;21;0.07;-0.09;0.1;0.2;0.09;
855;41.6884;9.2863;GWL20;16.71;24.78;9.47;28.91;3;44;71;1019.79;94.89;284.97;50.49;96.64;5.1;15;165;2.21;2.53;1.74;2.52;2;23.9;36.8;1.4;5;18;0.09;0.27;-0.02;0.26;0.3;
856;41.682;9.3817;GWL20;17.93;25.44;11.11;29.75;3;51.3;81.3;902.93;85.44;250.74;46.25;91.36;5;14;191;2.03;2.02;1.83;1.95;2;26.1;39.9;1.3;4;22;0.1;0.31;-0.02;0.28;0.31;
992;41.7963;8.7216;GWL20;17.04;24.15;10.34;27.93;0.9;21.5;60.2;781.72;52.23;233.08;31.29;47;5;12;168;1.83;1.81;1.64;1.62;0.6;11.9;33.3;1.4;2;2;0.06;-0.17;0.12;0.13;-0.05;
993;41.7905;8.8171;GWL20;16.22;23.85;9.19;27.59;1.7;28.5;56.3;887.95;58.75;263.34;35.53;51.76;5.1;18;141;2.07;2.33;1.69;2.15;1.2;15.7;33;1.5;6;12;0.06;-0.17;0.11;0.13;-0.04;
994;41.7845;8.9127;GWL20;16.75;24.59;9.62;28.71;3.3;39;63.6;966.12;68.54;313.27;36.47;54.03;5.2;12;139;2.04;2.27;1.67;2.14;2.3;19.3;34.2;1.4;4;14;0.05;-0.16;0.12;0.1;-0.03;
995;41.7785;9.0083;GWL20;14.54;22.56;7.21;25.61;1.9;17.9;49;1175.91;87.04;380.08;44.85;64.28;5.4;18;109;2.28;2.54;1.8;2.43;1.5;10.8;29.2;1.7;6;15;0.03;-0.12;0.07;0.1;-0.08;
996;41.7724;9.1038;GWL20;13.99;22;6.64;24.93;0.6;11.3;45;1479.93;120.99;481.44;57.72;95;5.5;11;98;2.28;2.5;1.8;2.35;0.5;7.1;29.2;1.8;3;16;0.09;-0.07;0.13;0.18;0.11;
997;41.7661;9.1993;GWL20;13.72;21.73;6.4;24.55;0.4;8.8;42.5;1499.58;122.49;485.9;58.24;95.84;5.4;9;95;2.27;2.49;1.8;2.33;0.3;5.6;27.6;1.8;2;16;0.09;-0.07;0.12;0.18;0.1;
998;41.7598;9.2948;GWL20;15.61;23.78;8.18;27.85;2.3;33.3;56.8;1298.67;134.71;384.23;54.53;103.69;5.2;10;116;2.27;2.67;1.72;2.69;1.7;19.4;35.7;1.6;4;22;0.07;0.13;0.01;0.24;0.29;
999;41.7535;9.3902;GWL20;17.65;25.27;10.74;29.59;3;48.8;78.6;927.86;87.33;258.41;47.07;92.61;4.9;14;188;2.05;2.1;1.79;2.06;2;25.1;38.4;1.3;4;24;0.1;0.3;-0.03;0.27;0.3;
1134;41.8737;8.6336;GWL20;17.31;24.45;10.54;28.17;1.2;24.2;65;793.98;52.29;242.15;32.33;54.61;5.2;10;168;1.9;1.96;1.6;1.67;0.8;14.5;38.1;1.5;1;2;0.11;-0.15;0.19;0.18;0.26;
1135;41.8679;8.7294;GWL20;17.23;24.24;10.64;28.1;1.4;23.8;60;758.35;48.24;232.1;29.87;48.59;4.6;12;154;1.82;1.73;1.71;1.58;0.9;14.1;32.4;0.9;1;7;0.06;-0.19;0.13;0.08;0.02;
1136;41.862;8.8251;GWL20;16.56;24.01;9.66;27.84;1.4;28.4;57.7;843.22;53.42;256.42;33.17;52.63;4.7;16;146;1.97;2.12;1.69;1.98;0.8;15.9;32.5;1.1;4;10;0.05;-0.19;0.12;0.08;0.02;
1137;41.856;8.9207;GWL20;15.76;23.82;8.51;27.58;3.5;31.6;58.8;1078.01;73.14;353.48;40.61;61.81;4.6;15;119;2.21;2.54;1.79;2.45;2.4;17.3;35;1;5;14;0.04;-0.19;0.11;0.09;0.03;
1138;41.85;9.0164;GWL20;15.92;23.84;8.63;27.78;4.4;32.3;56.8;1061.55;82.91;349.18;39.23;63.47;4.1;13;122;2.13;2.35;1.65;2.34;3.3;17;32;0.4;4;14;0.04;-0.07;0.09;0.06;0;
1139;41.8439;9.112;GWL20;12.21;20.01;5.23;22.29;0.1;2.1;26;1615.23;135.53;516.72;65.5;105.33;5.8;2;85;2.41;2.48;2.2;2.24;0.1;1.7;18;2.1;0;12;0.09;-0.04;0.1;0.26;0.15;
1140;41.8376;9.2077;GWL20;10.6;18.17;3.91;20.08;0;0.2;9.9;1694.98;144.84;541.56;67.57;112.48;5.9;2;78;2.39;2.34;2.32;2.09;0;0.2;7.1;2.2;0;12;0.06;-0.05;0.06;0.23;0.14;
1141;41.8313;9.3033;GWL20;16.13;24.33;8.79;28.06;1.6;34.2;68.1;1057.63;97.68;290.19;50.06;110.69;4.8;12;161;2.25;2.62;1.72;2.63;1.1;19.8;37.1;1.1;4;30;0.07;0.21;-0.07;0.24;0.38;
1142;41.8249;9.3988;GWL20;17.66;25.24;10.69;28.79;0.9;33;85.3;904.31;93.41;210.4;52.23;116.43;4.6;5;190;1.89;1.86;1.65;1.76;0.8;19.1;36.2;1;1;26;0.09;0.24;-0.12;0.24;0.33;
1276;41.9509;8.5455;GWL20;17.31;24.45;10.54;28.17;1.2;24.2;65;793.98;52.29;242.15;32.33;54.61;5.2;10;161;1.9;1.96;1.6;1.67;0.8;14.5;38.1;1.5;1;-7;0.11;-0.15;0.19;0.18;0.26;
1277;41.9452;8.6413;GWL20;16.85;24.28;9.87;27.92;0.9;25.6;64.7;851.57;55.87;258.77;34.47;57.43;5.2;11;154;1.99;2.21;1.57;1.9;0.6;15.1;37.9;1.6;3;1;0.11;-0.15;0.19;0.18;0.25;
1278;41.9394;8.7372;GWL20;16.88;24.29;9.92;27.92;0.9;24.6;64.9;846.4;55.54;257.27;34.24;57.17;5.2;11;147;1.97;2.17;1.56;1.87;0.6;14.4;38.2;1.5;3;5;0.11;-0.15;0.19;0.18;0.25;
1279;41.9335;8.833;GWL20;16.83;24.02;10.1;27.8;1.3;22;58.5;824.19;52.6;257.1;32.62;53.84;5.1;13;151;1.85;1.83;1.67;1.67;1;12.3;31.6;1.4;1;1;0.09;-0.17;0.18;0.1;0.14;
1280;41.9276;8.9288;GWL20;15.76;23.36;8.66;26.99;2.7;24.6;51.3;948.72;71.22;294.08;38.63;68.34;4.1;15;137;2.08;2.27;1.62;2.18;2.2;14.1;30;0.4;4;15;0.07;-0.03;0.14;0.13;0.1;
1281;41.9215;9.0246;GWL20;13.6;21.61;6.32;24.27;0.6;9.1;39.8;1244.57;96.77;406.04;45.76;70.98;4.1;14;99;2.27;2.51;1.82;2.39;0.5;6.2;24.4;0.4;5;12;0.03;-0.08;0.08;0.05;0;
