#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h14 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RCA4_EC-EARTH
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL15;17.09;24.69;10.38;29.4;6.2;47.4;54.8;671.37;46.66;202.81;27.08;57.03;3.5;48;195;1.22;1.29;1.15;1.33;3.9;17.4;22.4;-0.1;7;14;-0.05;-0.14;-0.09;0;-0.02;
281;41.4149;9.0628;GWL15;17.09;24.69;10.37;29.4;6.2;47.3;54.8;671.88;46.75;202.96;27.09;57.05;3.5;48;195;1.22;1.29;1.15;1.34;3.9;17.4;22.3;-0.1;7;14;-0.05;-0.14;-0.09;0;-0.02;
282;41.4087;9.1577;GWL15;16.76;24.43;10;29.07;5.8;41.8;52.6;696.02;48.36;210.18;27.98;58.21;3.7;43;206;1.22;1.32;1.13;1.38;3.7;15.8;21.5;0;7;12;-0.05;-0.14;-0.09;-0.01;-0.02;
283;41.4025;9.2527;GWL15;17.06;24.66;10.34;29.37;6.2;46.8;54.5;674.23;46.96;203.68;27.18;57.16;3.5;48;216;1.22;1.29;1.15;1.34;3.9;17.2;22.1;-0.1;8;14;-0.05;-0.14;-0.09;0;-0.02;
422;41.4985;8.8808;GWL15;16.93;24.49;10.19;29.16;5.4;42;50.2;686.18;42.32;207.94;28.91;54.87;3.9;46;195;1.14;1.16;1.07;1.18;3.1;12.8;17.1;0.2;8;7;-0.02;-0.24;-0.07;0.06;0.09;
423;41.4925;8.9759;GWL15;16.71;24.32;9.95;28.94;5.3;38.7;49.5;702.25;43.32;212.8;29.54;55.71;3.9;43;196;1.14;1.18;1.06;1.2;3.1;12;17.4;0.3;7;7;-0.02;-0.24;-0.07;0.05;0.09;
424;41.4864;9.071;GWL15;16.9;24.54;10.16;29.21;6;43.9;53.5;685.71;47.66;207.14;27.65;57.71;3.7;45;206;1.22;1.3;1.14;1.36;3.7;16.6;21.6;0;7;13;-0.05;-0.14;-0.09;0;-0.02;
425;41.4802;9.166;GWL15;16.47;24.21;9.67;28.79;5.8;39.2;50.8;718.24;49.93;216.87;28.85;59.28;3.7;40;198;1.23;1.35;1.12;1.43;3.9;15;20.8;0.1;8;13;-0.05;-0.14;-0.1;-0.01;-0.03;
426;41.4739;9.261;GWL15;16.9;24.54;10.16;29.21;6;43.9;53.5;685.64;47.61;207.13;27.65;57.71;3.7;45;200;1.22;1.3;1.14;1.36;3.7;16.6;21.6;0;7;14;-0.05;-0.14;-0.09;0;-0.02;
564;41.5759;8.7935;GWL15;16.23;23.39;9.61;27.38;0.8;15.9;41.5;727.18;43.81;202.56;29.47;53.69;4.2;13;169;0.99;1.02;0.94;0.99;0.6;6.8;14.5;0.5;4;8;0;-0.25;-0.03;0.07;0.16;
565;41.57;8.8888;GWL15;15.89;23.21;9.19;27.16;0.8;18.2;40.8;761.92;45.8;211.68;30.87;55.51;4.2;13;168;1.03;1.11;0.94;1.08;0.6;7.7;15.4;0.5;4;7;0;-0.25;-0.03;0.07;0.16;
566;41.564;8.984;GWL15;15.65;23.09;8.88;27.1;1;21.1;40.6;790.04;47.44;219.17;31.92;56.97;4.2;14;156;1.08;1.2;0.97;1.19;0.6;8.8;16.5;0.6;5;8;0;-0.25;-0.03;0.07;0.15;
567;41.5579;9.0791;GWL15;14.72;22.81;7.67;26.68;3.7;23.4;41.3;1007.13;71.09;296.61;38.61;65.49;3.5;14;124;1.29;1.62;1.1;1.64;2.4;9.4;19;-0.1;4;14;-0.04;-0.2;-0.08;0.06;-0.05;
568;41.5517;9.1743;GWL15;16.39;24.15;9.58;28.71;5.8;37.8;50.5;724.5;50.31;218.96;29.16;59.57;3.5;38;197;1.24;1.36;1.12;1.45;3.9;14.1;20.7;0;8;13;-0.05;-0.14;-0.1;-0.01;-0.03;
569;41.5454;9.2694;GWL15;16.87;24.52;10.13;29.14;5.8;38.8;55.3;662.06;48.27;196.19;28.16;59.97;2.9;47;215;1.25;1.33;1.17;1.36;3.8;11.8;23.2;-0.7;10;29;-0.11;-0.17;-0.18;-0.02;-0.09;
707;41.6474;8.8014;GWL15;16.23;23.37;9.62;27.39;1;16.8;41.2;691.11;45.44;205.1;27.89;50.28;4;15;185;0.96;0.97;0.91;0.97;0.8;7.7;14.9;0.3;3;18;-0.03;-0.21;0;0;0.2;
708;41.6415;8.8967;GWL15;15.74;23.09;9;27.11;1;19;39.9;742.04;48.57;219.38;29.93;53;4.1;15;165;1.02;1.11;0.93;1.11;0.8;7.8;15.1;0.4;4;11;-0.03;-0.22;-0.01;0;0.19;
709;41.6355;8.992;GWL15;15.62;23.07;8.83;27.09;1.2;22.2;40.5;793.79;47.65;219.98;32.1;57.19;4.2;15;154;1.09;1.22;0.97;1.21;0.8;9.3;16.6;0.5;5;8;0;-0.25;-0.03;0.07;0.15;
710;41.6294;9.0873;GWL15;14.92;22.97;7.88;26.92;3.6;24.6;42;987.07;69.74;291.11;37.73;64.55;3.5;14;120;1.27;1.58;1.08;1.59;2.4;9.7;19.1;-0.1;5;14;-0.04;-0.2;-0.08;0.05;-0.05;
711;41.6232;9.1826;GWL15;14.86;22.92;7.82;26.84;3.7;24.1;41.9;992.68;70.13;292.48;38.01;64.87;3.5;14;134;1.28;1.59;1.09;1.61;2.4;9.6;19.1;-0.1;5;11;-0.04;-0.2;-0.08;0.05;-0.05;
712;41.6169;9.2779;GWL15;16.89;24.55;10.13;28.93;3.1;36.5;62;728.14;50.43;218.08;31.53;63.84;3;16;203;1.16;1.21;1.08;1.22;2.2;11.6;21.6;-0.6;4;34;-0.12;-0.13;-0.2;-0.07;-0.15;
849;41.7248;8.7138;GWL15;16.23;23.38;9.6;27.39;0.9;15.4;41.7;714.5;48.13;205.37;30.66;53.69;5.5;11;176;0.94;0.96;0.86;0.94;0.6;6.2;15;1.8;1;6;0;-0.17;0.01;0.12;0.17;
850;41.719;8.8093;GWL15;16.21;23.37;9.58;27.37;0.8;15.4;41.6;716.12;48.22;205.82;30.71;53.78;5.5;11;178;0.94;0.97;0.86;0.95;0.5;6.2;15;1.9;1;6;0;-0.17;0.01;0.12;0.17;
851;41.713;8.9047;GWL15;15.52;22.99;8.73;27.05;1.7;22.5;38.8;766.35;49.99;226.37;30.97;54.29;4.1;16;156;1.07;1.19;0.96;1.21;1.3;9.2;14.8;0.4;5;10;-0.04;-0.22;-0.01;0;0.18;
852;41.707;9.0001;GWL15;15.24;23.1;8.24;27.32;3.6;27.2;40.4;929.21;66.48;292.25;35.35;59.88;3.9;12;140;1.12;1.29;0.97;1.36;2.4;10;15.6;0.1;3;10;-0.03;-0.18;-0.01;0.02;0.17;
853;41.7009;9.0955;GWL15;14.91;22.95;7.88;26.91;4;26.2;41.8;982;67.1;309.05;36.49;59.48;3.5;15;129;1.25;1.54;1.07;1.55;2.7;11.4;18.9;0;6;14;-0.03;-0.22;-0.02;0;-0.03;
854;41.6946;9.1909;GWL15;13.65;21.81;6.58;25.12;1.7;15.8;35.2;1065.44;71.83;324.84;40.42;76.51;3.3;20;127;1.35;1.7;1.14;1.74;1.5;8.6;18.4;-0.3;7;23;-0.07;-0.26;-0.09;0;-0.04;
855;41.6884;9.2863;GWL15;15.74;23.84;8.76;28.08;4;32.1;53.2;824.76;47.77;266.13;33.42;68.61;2.6;20;179;1.24;1.5;1.07;1.58;2.8;12;20.8;-1.1;8;26;-0.12;-0.28;-0.12;-0.11;-0.14;
856;41.682;9.3817;GWL15;17.02;24.7;10.27;29.14;3.6;39.6;62.2;721.55;41.24;235.33;29.69;63.54;2.6;18;207;1.12;1.21;1.04;1.27;2.7;13.4;20.9;-1;7;27;-0.12;-0.29;-0.12;-0.12;-0.14;
992;41.7963;8.7216;GWL15;16.14;23.32;9.49;27.31;0.7;15.4;41.1;723.4;48.67;207.84;31;54.17;5.5;11;173;0.95;0.98;0.86;0.96;0.5;6.5;14.7;1.9;2;6;0;-0.17;0.01;0.12;0.17;
993;41.7905;8.8171;GWL15;15.22;22.76;8.37;26.75;1.3;19.4;36.9;819.75;54.58;234.35;35.1;59.31;5.5;13;146;1.07;1.24;0.91;1.25;0.8;6.9;14.5;1.9;2;6;0;-0.18;0;0.12;0.16;
994;41.7845;8.9127;GWL15;15.78;23.57;8.81;27.92;3.8;31;43.5;879.44;63.74;277.7;34.08;62.99;4.7;13;146;1.07;1.23;0.91;1.29;2.6;11.1;15;1;4;8;-0.03;-0.19;-0.01;0.01;0.22;
995;41.7785;9.0083;GWL15;13.46;21.48;6.41;24.78;1.3;13.8;32;1072.11;77.39;335.31;41.57;72.12;4.4;18;124;1.19;1.42;1.02;1.47;1.1;6.8;14.3;0.8;5;18;-0.04;-0.19;-0.03;0.01;0.18;
996;41.7724;9.1038;GWL15;12.99;21.14;5.91;24.4;0.6;10.1;27.9;1335.96;100.04;431.3;50.21;89.79;4.3;15;97;1.29;1.59;1.09;1.61;0.6;6.2;14.5;0.8;6;12;0;-0.18;0.01;0.06;0.18;
997;41.7661;9.1993;GWL15;12.79;20.93;5.75;24.04;0.1;8.7;28;1270.29;94.03;393.52;48.25;87.28;3.3;13;107;1.34;1.64;1.17;1.65;0.1;5.7;15.5;-0.3;5;16;-0.08;-0.23;-0.11;0;-0.04;
998;41.7598;9.2948;GWL15;14.63;22.76;7.52;26.95;3.2;24.8;37.2;1123.22;83.1;349.68;42.37;79.74;3.5;11;125;1.28;1.58;1.1;1.67;2.5;10.8;18.5;-0.2;5;21;-0.07;-0.23;-0.1;0;-0.05;
999;41.7535;9.3902;GWL15;16.74;24.5;9.94;28.92;3.7;37.3;60.5;744.11;42.67;242.57;30.53;64.57;2.7;18;203;1.14;1.26;1.03;1.32;2.8;12.7;21.2;-1.1;7;26;-0.12;-0.28;-0.12;-0.11;-0.14;
1134;41.8737;8.6336;GWL15;16.34;23.45;9.73;27.48;0.9;15.9;41.9;703.88;47.46;202.25;30.24;53.13;5.4;11;173;0.93;0.95;0.86;0.93;0.6;6.1;15;1.9;1;6;0;-0.17;0.01;0.13;0.17;
1135;41.8679;8.7294;GWL15;16.34;23.45;9.73;27.48;0.9;15.9;41.9;703.83;47.49;202.24;30.24;53.13;5.4;11;159;0.93;0.95;0.86;0.93;0.6;6.1;15;1.9;1;4;0;-0.17;0.01;0.13;0.17;
1136;41.862;8.8251;GWL15;15.6;23.03;8.81;27.05;1.3;19;39.3;780.75;52.28;223.64;33.45;57.26;5.4;13;151;1.02;1.15;0.88;1.14;0.8;6.7;15.1;1.8;2;6;0;-0.17;0.01;0.12;0.16;
1137;41.856;8.9207;GWL15;14.71;22.68;7.67;26.69;3.5;23.4;37.8;982.12;70.73;308.28;38.01;68.02;4.5;15;130;1.15;1.38;0.97;1.48;2.4;8.9;15;0.8;4;13;-0.03;-0.19;-0.01;0.01;0.2;
1138;41.85;9.0164;GWL15;15.01;23.07;7.95;27.17;4.2;27.7;41.2;1019.02;69.59;324.83;38.82;71.45;4.4;16;120;1.22;1.55;1.01;1.63;3.1;12.1;19.2;0.7;7;6;0.01;-0.2;0.04;0.06;0.21;
1139;41.8439;9.112;GWL15;11.07;19.13;4.17;21.82;0;2;15.2;1457.02;109.83;467.35;55.12;97.21;4.5;6;88;1.29;1.55;1.15;1.51;0;1.6;9.1;0.9;3;10;-0.01;-0.18;-0.01;0.07;0.18;
1140;41.8376;9.2077;GWL15;9.53;17.4;2.86;19.78;0;0.2;5.4;1499.81;111.48;471.44;54.86;106.15;3.5;4;85;1.33;1.51;1.28;1.49;0;0.2;3.8;-0.1;2;13;-0.08;-0.23;-0.1;-0.03;0.01;
1141;41.8313;9.3033;GWL15;15.13;23.34;8.08;27.26;2.4;27.6;48.2;905.47;50.61;298.08;38.22;80.16;3.4;16;164;1.27;1.57;1.07;1.68;1.7;13.5;18.9;-0.1;8;28;-0.1;-0.3;-0.08;-0.02;-0.09;
1142;41.8249;9.3988;GWL15;16.82;24.57;9.96;28.28;0.9;25.6;68.8;739.33;47.15;227.29;38.22;80.89;3.5;9;195;1.08;1.15;0.98;1.18;0.7;11.9;21;-0.2;4;23;-0.12;-0.3;-0.09;-0.05;-0.13;
1276;41.9509;8.5455;GWL15;16.36;23.49;9.72;27.5;1;16.5;42.6;691.89;53.01;193.67;30.04;55.65;4.8;14;172;0.95;0.97;0.85;0.95;0.6;6.8;15.3;1.1;3;4;-0.02;-0.07;-0.05;0.09;0.2;
1277;41.9452;8.6413;GWL15;15.85;23.18;9.09;27.14;0.9;16.9;41.5;742.9;56.52;207.64;32.04;58.21;4.8;13;163;1;1.09;0.85;1.06;0.7;6.5;15.5;1.2;3;5;-0.02;-0.08;-0.05;0.08;0.19;
1278;41.9394;8.7372;GWL15;15.9;23.2;9.14;27.16;0.9;16.6;41.7;737.98;56.05;206.25;31.92;57.98;4.8;14;156;0.99;1.07;0.85;1.05;0.6;6.5;15.7;1.1;3;4;-0.02;-0.08;-0.05;0.09;0.19;
1279;41.9335;8.833;GWL15;15.95;23.24;9.23;27.23;0.9;17.1;41.2;726.33;49.43;212.47;29.89;61.83;4.5;16;166;0.98;1.06;0.85;1.07;0.8;7.6;15.1;0.8;5;12;-0.03;-0.19;0;0.05;0.28;
1280;41.9276;8.9288;GWL15;14.79;22.44;7.92;26.29;2.3;18.5;34.3;832.75;56.16;243.39;34.39;67.75;4.4;17;145;1.11;1.33;0.92;1.4;1.7;7.9;14.1;0.8;6;12;-0.04;-0.19;-0.02;0.05;0.25;
1281;41.9215;9.0246;GWL15;12.61;20.74;5.58;23.73;0.8;8.1;27.4;1155.82;76.62;375.93;42.56;76.27;3.8;18;112;1.29;1.58;1.1;1.63;0.8;5.1;14.5;0.1;7;16;-0.03;-0.24;0.02;-0.01;0.19;
1282;41.9154;9.1203;GWL15;13.16;21.27;6.09;24.65;0.9;11.8;28.5;1273.75;91.75;429.74;47.26;87.61;3.8;16;107;1.25;1.52;1.08;1.58;0.9;6.8;14.7;0.2;7;16;-0.03;-0.21;0.02;0.01;0.21;
1283;41.9091;9.216;GWL15;10.39;18.22;3.63;21.25;0;0.4;4.9;1085.78;86.8;349.84;43.18;81.28;3.9;4;109;1.25;1.43;1.15;1.48;0;0.2;3.5;0.3;2;19;-0.09;-0.24;-0.07;0.04;-0.03;
1284;41.9028;9.3118;GWL15;15.07;23.28;7.95;27.09;1;21.4;49.8;843.88;68.17;262.67;39.18;81.35;2.4;6;170;1.25;1.52;1.05;1.56;0.9;8.8;21.8;-1.2;2;34;-0.12;-0.07;-0.09;-0.15;-0.19;
1285;41.8964;9.4075;GWL15;17.14;24.86;10.32;28.38;0.5;22.9;76.6;705.52;56.04;220.72;32.24;71.96;2.5;6;212;1.05;1.14;0.97;1.11;0.3;9.3;23;-1.2;0;33;-0.11;-0.08;-0.08;-0.16;-0.17;
1420;42.0168;8.649;GWL15;16.25;23.42;9.6;27.41;0.9;16;42.5;701.79;53.68;196.43;30.42;56.15;4.8;14;158;0.95;0.99;0.85;0.96;0.6;6.7;15.5;1.2;3;4;-0.02;-0.07;-0.05;0.09;0.2;
1421;42.011;8.745;GWL15;15.6;23.06;8.77;27.06;1.2;21;39.7;770.22;58.37;214.82;33.2;59.6;4.8;14;153;1.05;1.18;0.87;1.17;0.8;8.5;14.8;1.1;3;4;-0.03;-0.08;-0.05;0.08;0.18;
1422;42.0051;8.8409;GWL15;15.48;23;8.63;27.11;2.2;23;39.5;783.25;58.78;223.95;32.9;67.39;4.6;19;157;1.08;1.25;0.92;1.3;1.8;9.3;16.1;0.9;6;10;-0.03;-0.11;-0.03;0.07;0.31;
1423;41.9991;8.9368;GWL15;13.83;21.87;6.75;25.39;2.5;16.4;34.7;1052.17;83.33;320.91;42.43;78.95;4.6;17;121;1.21;1.45;0.98;1.54;2.1;8;15.6;1;5;11;-0.04;-0.11;-0.05;0.09;0.27;
