#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h21 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RCA4_IPSL-CM5A
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL15;17.3;25.24;10.28;29.81;7.2;53;66.5;632.88;36.07;258.54;29.77;46.65;4.4;57;204;1.42;1.86;1.07;1.79;4.9;23.5;31.9;0.8;17;26;-0.08;-0.36;0.17;0.08;-0.05;
281;41.4149;9.0628;GWL15;17.3;25.23;10.28;29.81;7.2;53;66.5;632.84;35.99;258.6;29.78;46.67;4.4;57;204;1.42;1.86;1.07;1.79;4.9;23.5;31.9;0.8;17;26;-0.08;-0.36;0.17;0.08;-0.05;
282;41.4087;9.1577;GWL15;16.97;24.98;9.9;29.49;6.2;47.7;64.3;656.47;37.44;268.19;30.85;47.95;4.2;51;211;1.43;1.89;1.06;1.85;4.2;21.9;31.4;0.5;16;21;-0.08;-0.36;0.17;0.08;-0.05;
283;41.4025;9.2527;GWL15;17.27;25.21;10.24;29.78;7.1;52.7;65.9;635.31;36.16;259.49;29.89;46.79;4.4;57;217;1.42;1.86;1.07;1.79;4.9;23.4;31.5;0.8;17;18;-0.08;-0.36;0.17;0.08;-0.05;
422;41.4985;8.8808;GWL15;17.16;25.06;10.17;29.61;7.8;51;66.4;638.62;27.55;259.42;29.4;58.12;4;56;206;1.36;1.76;1.06;1.69;5.5;22.8;33;0.2;17;17;-0.09;-0.56;0.17;0.07;0.12;
423;41.4925;8.9759;GWL15;16.94;24.89;9.92;29.4;6.8;47.2;64.9;653.68;28.23;265.66;29.97;58.93;4;53;206;1.36;1.78;1.05;1.73;4.6;21.4;32.5;0.3;17;17;-0.09;-0.56;0.17;0.06;0.12;
424;41.4864;9.071;GWL15;17.11;25.08;10.06;29.62;6.6;49.8;65.1;646.4;36.96;264.05;30.35;47.41;4.4;54;211;1.42;1.87;1.06;1.82;4.5;23;31.7;0.7;17;22;-0.08;-0.36;0.17;0.08;-0.05;
425;41.4802;9.166;GWL15;16.69;24.77;9.56;29.23;5.8;45.2;62.5;677.85;38.96;276.89;31.8;49.13;4.3;46;204;1.45;1.94;1.05;1.92;3.8;20.7;31.1;0.7;17;23;-0.08;-0.35;0.17;0.08;-0.04;
426;41.4739;9.261;GWL15;17.11;25.08;10.06;29.62;6.6;49.8;65.1;646.36;36.93;264.02;30.35;47.41;4.4;54;207;1.42;1.87;1.06;1.82;4.5;23;31.7;0.7;17;25;-0.08;-0.36;0.17;0.08;-0.05;
564;41.5759;8.7935;GWL15;16.42;23.85;9.58;27.71;0.9;21.8;57;657.16;30.44;262.27;29.27;53.35;4.1;13;193;1.17;1.5;0.92;1.38;0.7;12.9;30;0.5;6;40;-0.11;-0.53;0.24;0.07;0.06;
565;41.57;8.8888;GWL15;16.1;23.73;9.14;27.54;0.9;24.7;56.2;688.66;31.84;274.65;30.82;55.09;4.1;13;193;1.23;1.66;0.9;1.52;0.7;14.5;30.3;0.5;5;38;-0.11;-0.53;0.24;0.08;0.06;
566;41.564;8.984;GWL15;15.87;23.68;8.81;27.53;1.2;28.6;55.5;714.11;33.08;284.71;31.96;56.5;4.2;14;184;1.3;1.83;0.92;1.69;0.9;16.1;30.6;0.6;6;41;-0.11;-0.53;0.24;0.07;0.06;
567;41.5579;9.0791;GWL15;15.01;23.58;7.5;27.34;4.2;32;53.2;911.4;54.03;371.73;37.64;63.34;3.3;15;160;1.6;2.44;0.98;2.38;3.2;18.6;30.3;-0.3;8;52;-0.13;-0.41;0.15;0.04;0.02;
568;41.5517;9.1743;GWL15;16.61;24.71;9.47;29.16;5.8;44.3;62.3;683.98;39.28;279.26;32.06;49.45;4.2;45;203;1.45;1.95;1.05;1.94;3.9;20.5;31.7;0.7;17;23;-0.08;-0.35;0.17;0.08;-0.04;
569;41.5454;9.2694;GWL15;17.03;24.97;9.96;29.57;7.3;48.2;63.4;654.96;33.38;268.26;31.34;49.99;4.7;54;205;1.4;1.8;1.02;1.82;5.2;21.4;29.4;1;16;19;-0.08;-0.42;0.16;0.12;-0.03;
707;41.6474;8.8014;GWL15;16.39;23.77;9.6;27.69;1;22;53.9;679.77;32.57;266.38;31.17;54.62;4.5;15;197;1.11;1.39;0.9;1.32;0.8;12.9;26.5;0.8;6;34;-0.07;-0.47;0.24;0.11;0.14;
708;41.6415;8.8967;GWL15;15.92;23.58;8.95;27.47;1;25.8;52.4;729.05;35;285.1;33.48;57.28;4.6;16;189;1.2;1.62;0.89;1.53;0.8;14.5;26.7;0.9;6;37;-0.08;-0.47;0.24;0.11;0.14;
709;41.6355;8.992;GWL15;15.84;23.67;8.77;27.52;1.2;29.4;55.4;717.58;33.24;286.03;32.12;56.71;4.2;15;185;1.31;1.86;0.93;1.71;0.9;16.3;30.6;0.6;6;46;-0.11;-0.53;0.24;0.07;0.06;
710;41.6294;9.0873;GWL15;15.2;23.72;7.72;27.57;4.1;32.7;54;892.45;52.96;364.29;36.87;62.32;3.4;15;158;1.56;2.38;0.97;2.32;3.1;18.4;30.5;-0.3;8;54;-0.13;-0.41;0.15;0.03;0.02;
711;41.6232;9.1826;GWL15;15.14;23.68;7.65;27.5;4.2;32.5;53.7;898.17;53.29;366.56;37.09;62.63;3.4;15;168;1.57;2.4;0.97;2.34;3.2;18.4;30.3;-0.3;8;49;-0.13;-0.41;0.15;0.03;0.02;
712;41.6169;9.2779;GWL15;17.04;24.94;10.01;29.3;3;44.8;69.2;744.03;34.76;307.26;37.21;59.52;5.2;16;195;1.3;1.61;0.98;1.62;2.2;20.1;27.7;1.5;6;22;-0.06;-0.39;0.18;0.13;-0.02;
849;41.7248;8.7138;GWL15;16.42;23.75;9.64;27.67;1.1;20.1;53.1;675.98;43;266.31;31.57;55.38;4.7;12;201;1.11;1.36;0.89;1.29;0.8;10.9;26.5;1.1;3;38;-0.07;-0.32;0.26;0.15;0.27;
850;41.719;8.8093;GWL15;16.4;23.74;9.62;27.66;1.1;20;52.9;677.82;43.12;266.85;31.65;55.47;4.7;12;202;1.11;1.36;0.89;1.29;0.8;10.9;26.2;1;3;36;-0.07;-0.32;0.26;0.15;0.27;
851;41.713;8.9047;GWL15;15.72;23.53;8.67;27.46;1.4;29.4;51.7;752.85;36.25;294.29;34.65;58.57;4.6;17;185;1.26;1.77;0.92;1.68;0.9;16;27.2;0.9;7;43;-0.08;-0.47;0.24;0.11;0.13;
852;41.707;9.0001;GWL15;15.46;23.72;8.16;27.83;3.2;34.2;53.3;911.64;50.52;373.95;40.27;65.46;4.9;14;170;1.36;1.96;0.93;1.94;2.1;16.8;27.7;1.3;7;44;-0.07;-0.41;0.22;0.15;0.16;
853;41.7009;9.0955;GWL15;15.16;23.65;7.69;27.51;3.5;33.6;52.2;935.04;55.76;373;38.54;68.02;4.2;15;164;1.51;2.29;0.93;2.23;2.3;18.8;29.2;0.4;8;51;-0.09;-0.39;0.17;0.03;0.1;
854;41.6946;9.1909;GWL15;13.88;22.42;6.31;25.69;1.1;20.5;44.1;1027.89;62.45;408.64;45.87;68.52;4.2;18;155;1.57;2.36;0.91;2.4;1;13.6;26.1;0.5;9;50;-0.1;-0.37;0.15;0.11;-0.02;
855;41.6884;9.2863;GWL15;15.92;24.3;8.57;28.55;3.3;40.3;61.8;833.43;37.79;340.29;40.1;73.63;4;17;183;1.42;1.99;0.91;2.08;2.1;20;28.7;0.5;7;38;-0.08;-0.45;0.17;0.1;0.01;
856;41.682;9.3817;GWL15;17.18;25.07;10.15;29.49;3.1;46.8;69;733.02;32.03;301.94;35.85;68.85;4.1;16;206;1.25;1.58;0.93;1.63;2.2;20.9;26.7;0.4;6;35;-0.08;-0.46;0.18;0.11;0.03;
992;41.7963;8.7216;GWL15;16.33;23.7;9.52;27.61;1.1;19.8;53.2;684.58;43.54;269.61;31.96;55.85;4.7;12;200;1.11;1.39;0.88;1.31;0.8;10.7;26.6;1;3;39;-0.07;-0.32;0.26;0.15;0.27;
993;41.7905;8.8171;GWL15;15.45;23.3;8.35;27.17;1.4;26.1;49;776.23;49.06;305.71;36.11;60.92;4.7;14;180;1.3;1.82;0.91;1.76;0.9;13.8;26;1;5;45;-0.07;-0.32;0.26;0.15;0.24;
994;41.7845;8.9127;GWL15;15.98;24.09;8.76;28.36;3;38.3;55.3;873.68;47.79;354.5;38.75;69.2;5.2;13;177;1.27;1.79;0.89;1.79;1.7;18.3;26.8;1.6;6;41;-0.06;-0.41;0.22;0.19;0.25;
995;41.7785;9.0083;GWL15;13.7;22.11;6.28;25.3;0.4;17.5;43.2;1060.68;58.61;430.52;47.37;78.72;5.3;19;151;1.45;2.12;0.95;2.1;0.2;10.6;25.5;1.7;8;40;-0.07;-0.41;0.2;0.19;0.23;
996;41.7724;9.1038;GWL15;13.23;21.76;5.67;24.96;0.1;13;39.5;1247.45;81.21;493.52;50.76;94.47;4.3;17;132;1.52;2.27;0.9;2.26;0.1;8.9;26.1;0.7;8;42;-0.07;-0.37;0.16;0.07;0.2;
997;41.7661;9.1993;GWL15;13;21.51;5.46;24.57;0.1;9.2;36.7;1259.41;80.66;506;55.46;86.71;4.4;11;141;1.55;2.27;0.92;2.27;0.1;6.2;23.7;0.7;5;48;-0.08;-0.35;0.17;0.15;0.05;
998;41.7598;9.2948;GWL15;14.83;23.29;7.3;27.5;2.5;31.5;46.3;1112.08;70.96;450.4;49.02;78.69;4.4;8;153;1.49;2.15;0.91;2.27;1.9;17.8;26.6;0.7;3;47;-0.07;-0.36;0.17;0.15;0.05;
999;41.7535;9.3902;GWL15;16.9;24.88;9.8;29.3;2.8;44.5;66.9;754.82;33.21;310.83;36.85;69.92;4;16;203;1.28;1.65;0.92;1.72;1.9;20.4;26.6;0.5;6;35;-0.08;-0.46;0.17;0.11;0.03;
1134;41.8737;8.6336;GWL15;16.53;23.82;9.78;27.77;1.2;20.9;53.1;666.12;42.39;262.31;31.08;54.83;4.7;13;200;1.1;1.34;0.89;1.27;0.9;11.2;26.2;1;4;39;-0.07;-0.32;0.26;0.15;0.27;
1135;41.8679;8.7294;GWL15;16.53;23.82;9.78;27.77;1.2;20.9;53.1;666.18;42.38;262.31;31.08;54.83;4.7;13;189;1.1;1.34;0.89;1.27;0.9;11.2;26.2;1;4;39;-0.07;-0.32;0.26;0.15;0.27;
1136;41.862;8.8251;GWL15;15.82;23.51;8.81;27.42;1.4;25.8;51.7;740.09;46.94;291.33;34.43;58.88;4.7;14;185;1.23;1.67;0.89;1.58;1;13.3;26.8;1;4;46;-0.07;-0.32;0.26;0.15;0.25;
1137;41.856;8.9207;GWL15;14.93;23.28;7.56;27.19;3.2;30.8;49.4;974.66;53.4;395.04;43.28;74.18;5.2;16;158;1.39;2.04;0.92;2.07;2;16.5;26.2;1.6;8;38;-0.06;-0.41;0.21;0.19;0.24;
1138;41.85;9.0164;GWL15;15.24;23.68;7.75;27.74;3.6;35.2;50.7;938.65;55.87;374.23;38.13;76.45;4.2;16;154;1.45;2.2;0.85;2.25;2.5;19.6;27.2;0.5;8;43;-0.07;-0.4;0.19;0.05;0.22;
1139;41.8439;9.112;GWL15;11.29;19.75;3.87;22.35;0;1.2;24;1374.75;89.13;538.78;55.86;101.69;4.3;5;120;1.51;2.22;0.92;2.12;0;0.9;18.4;0.7;2;38;-0.07;-0.36;0.15;0.07;0.18;
1140;41.8376;9.2077;GWL15;9.66;17.86;2.43;20.18;0;0;7.7;1449.13;89.99;568.12;59.6;105.89;3.7;3;111;1.45;2.03;0.9;2;0;0;6.3;0;1;41;-0.1;-0.4;0.12;0.08;0.02;
1141;41.8313;9.3033;GWL15;15.3;23.79;7.83;27.75;1.6;33.3;56;878.92;38.43;331.69;40.52;85.8;3.3;14;166;1.42;2.05;0.83;2.22;1.1;18.7;25.8;-0.3;6;38;-0.09;-0.51;0.09;0.05;0;
1142;41.8249;9.3988;GWL15;16.95;24.86;9.81;28.56;0.6;31.8;70.8;722.14;33.69;251.18;40.23;93.14;3.3;6;206;1.17;1.44;0.82;1.48;0.5;18;21.9;-0.3;1;43;-0.1;-0.54;0.1;0.04;-0.01;
