#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h44 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : ALADIN63_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
568;41.5517;9.1743;GWL30;18.71;27.46;11.3;31.59;25;71.7;101.9;836.16;88.6;271.2;34.21;65.18;5.2;187;3.63;4.73;2.99;4.43;23.2;48.7;70.8;1.5;7;0.08;0.31;0.12;0.13;0.18;
569;41.5454;9.2694;GWL30;19.12;27.74;11.85;31.91;26.4;74.4;103.9;796.43;85.16;258.4;32.73;63.18;5.2;195;3.57;4.61;3.03;4.22;24.2;48.6;70.6;1.6;8;0.08;0.32;0.12;0.14;0.18;
707;41.6474;8.8014;GWL30;18.21;25.88;11.29;29.42;7.1;50.4;91.2;775.45;79.8;191.25;29.97;51.58;4.9;172;2.99;3.47;2.66;3.02;6.8;41.3;63.3;1.3;9;0.06;0.21;-0.03;0.03;0.03;
708;41.6415;8.8967;GWL30;17.95;26.19;10.71;29.69;10.9;56.8;93.2;816.57;86.02;212.97;32.97;60.36;4.9;165;3.28;4.19;2.71;3.75;10.6;45.9;67.4;1.3;15;0.03;0.25;-0.01;0.08;0.09;
709;41.6355;8.992;GWL30;17.87;26.28;10.53;29.8;12.2;59.3;93.4;835.47;87.81;217.82;33.74;61.23;5;162;3.39;4.43;2.76;3.98;11.9;46.7;68.5;1.3;19;0.03;0.25;-0.01;0.07;0.09;
710;41.6294;9.0873;GWL30;17.39;26.72;9.5;30.43;24.9;61.6;94.2;1038.22;112.03;305.99;40.43;73.26;4.7;139;3.81;5.38;2.81;5.26;23.9;47.4;70.3;1;33;0.01;0.15;0.03;0.1;0.16;
711;41.6232;9.1826;GWL30;17.34;26.7;9.44;30.38;25;61.5;94.2;1044.63;112.67;307.67;40.73;73.56;4.7;151;3.83;5.43;2.82;5.3;23.9;47.6;70.4;1;28;0.01;0.15;0.03;0.1;0.16;
712;41.6169;9.2779;GWL30;18.92;27.35;11.63;31.58;22.6;70;103.7;901.35;80.41;306.42;39.91;76.78;4.9;174;3.27;4.06;2.74;3.95;21.8;45.7;61.6;1.3;1;0.08;0.21;0.16;0.16;0.21;
849;41.7248;8.7138;GWL30;18.24;25.89;11.33;29.44;7.1;50.6;91.3;772.61;79.53;190.54;29.84;51.45;5.2;171;2.98;3.46;2.66;3.01;6.8;41.5;63.4;1.5;10;0.06;0.21;-0.03;0.03;0.03;
850;41.719;8.8093;GWL30;18.22;25.89;11.3;29.43;7.1;50.7;91.3;774.36;79.7;190.97;29.92;51.53;5.2;172;2.99;3.46;2.66;3.02;6.8;41.4;63.4;1.5;7;0.06;0.21;-0.03;0.03;0.03;
851;41.713;8.9047;GWL30;17.75;26.11;10.43;29.6;9.3;59.6;91.2;858.31;87.27;211.05;33.24;55.23;5;150;3.34;4.31;2.74;3.81;8.9;46.2;65.8;1.3;13;0.05;0.2;-0.03;0.03;0.02;
852;41.707;9.0001;GWL30;17.67;26.71;9.98;30.57;22.4;63.2;93.3;1002.26;102.32;286.33;39.92;66.3;5.1;145;3.61;4.92;2.81;4.7;21.2;46.4;67.1;1.5;23;0.01;0.11;0;0.1;0.04;
853;41.7009;9.0955;GWL30;17.4;26.72;9.51;30.44;24.9;61.8;94.3;1036.21;111.86;305.44;40.38;73.17;4.7;142;3.8;5.37;2.8;5.24;23.9;47.4;70.3;1;30;0.01;0.15;0.03;0.1;0.16;
854;41.6946;9.1909;GWL30;16.2;25.62;8.28;28.59;14;47.2;88.3;1136.16;122.49;332.52;44.56;77.96;4.7;132;3.96;5.59;2.94;5.43;13.9;40.5;69.3;1;29;0;0.14;0.02;0.11;0.15;
855;41.6884;9.2863;GWL30;18.06;27.07;10.28;31.15;21.9;68.2;100.5;988.81;82.65;326.68;43.89;84.35;5.3;162;3.62;4.79;2.74;4.79;20.9;48.8;66.1;1.7;19;0.05;0.07;0.12;0.13;0.16;
856;41.682;9.3817;GWL30;19.14;27.38;11.91;31.65;20.5;74.1;105.8;871.15;72.99;288.59;39.47;78.04;5.6;180;3.29;3.95;2.8;3.86;19.7;49.3;62.4;1.9;5;0.05;0.09;0.12;0.13;0.17;
992;41.7963;8.7216;GWL30;18.16;25.87;11.2;29.39;7;49.7;91.2;782.33;80.41;192.95;30.18;51.88;5.1;170;3;3.5;2.64;3.05;6.7;40.7;63.5;1.4;12;0.06;0.21;-0.03;0.03;0.03;
993;41.7905;8.8171;GWL30;17.54;26.06;10.15;29.46;8.2;57.8;90.5;884.94;89.72;217.2;34.29;56.48;5;146;3.44;4.53;2.78;4.02;7.7;45.4;67;1.3;17;0.05;0.2;-0.04;0.03;0.02;
994;41.7845;8.9127;GWL30;18.06;26.77;10.55;30.55;14;68.3;95.7;957.17;99.52;254.87;35.44;57.5;5.1;143;3.4;4.44;2.76;3.98;12.8;48.9;66.4;1.4;13;0.04;0.15;-0.04;0.04;0;
995;41.7785;9.0083;GWL30;16.09;25.36;8.32;28.23;9.9;45.7;85.8;1147.78;117.36;324.62;46.1;73.25;5.1;124;3.89;5.34;3.02;5.08;9.9;39;67;1.5;20;0;0.1;-0.02;0.1;0.03;
996;41.7724;9.1038;GWL30;15.49;24.87;7.58;27.85;9.1;38.9;79.3;1410.34;141.65;458.03;56.24;93.72;5.2;116;3.83;5.37;2.86;5.31;9.1;35.2;64.2;1.6;23;0.05;0.07;0.14;0.21;0.18;
997;41.7661;9.1993;GWL30;15.21;24.58;7.33;27.44;6.8;36.2;77.8;1425.85;143.47;461.14;56.89;94.58;5.2;114;3.82;5.34;2.85;5.26;6.8;33.4;63.7;1.6;23;0.04;0.07;0.13;0.21;0.18;
998;41.7598;9.2948;GWL30;17.06;26.2;9.18;30.19;18.9;58.2;89.3;1190.5;124.7;365.57;44.63;83.14;4.5;136;3.77;5.07;2.86;5.07;18.3;45.5;67.6;0.8;35;-0.02;0.02;0.01;0.05;0.08;
999;41.7535;9.3902;GWL30;18.87;27.25;11.53;31.54;21.3;71.2;103.7;896.52;74.93;297.56;40.4;79.42;5.6;176;3.33;4.05;2.76;4.03;20.4;48;62.4;1.9;6;0.05;0.09;0.12;0.13;0.16;
1134;41.8737;8.6336;GWL30;18.52;26.3;11.56;29.68;6.6;56;97.9;764.84;79.15;184.33;29.62;48.7;5;170;3.15;3.77;2.77;3.14;6.3;46.6;69.7;1.4;12;0.08;0.24;-0.04;0.07;0.07;
1135;41.8679;8.7294;GWL30;18.35;25.95;11.56;29.63;7.8;53.8;90.1;752;76.26;193.9;30.19;51;4.9;156;2.99;3.43;2.78;3.1;7.6;44.2;62.1;1.3;9;0.04;0.18;-0.01;0.04;-0.01;
1136;41.862;8.8251;GWL30;17.8;26.04;10.62;29.64;8.6;59;89.8;834.25;83.85;213.58;33.53;54.67;4.9;155;3.27;4.15;2.79;3.77;8.3;46.7;64.1;1.2;18;0.04;0.17;-0.02;0.05;-0.01;
1137;41.856;8.9207;GWL30;17.22;26.32;9.64;29.83;15.1;60.2;91.6;1053.43;106.93;287.21;40.76;62.19;4.9;133;3.73;5.04;3.05;4.74;14.2;46.7;67.6;1.3;20;0.02;0.11;-0.04;0.07;-0.02;
1138;41.85;9.0164;GWL30;17.42;26.6;9.7;30.48;22.4;62.2;90.8;1019.24;98.08;297.86;38.89;68.35;4.7;146;3.68;5.09;2.86;5.06;21.2;47.4;66.5;1.1;28;0;0.01;0.02;0.05;0.02;
1139;41.8439;9.112;GWL30;13.66;22.87;6.11;25.15;1.1;17.7;63.8;1601.87;155.79;524.04;66.15;102.22;5.1;104;3.93;5.35;3.2;5.15;1.1;17.6;55.8;1.5;19;0.08;0.05;0.19;0.3;0.18;
1140;41.8376;9.2077;GWL30;11.99;20.84;4.82;22.72;0;4.2;44.3;1691.27;167.1;555.28;69.45;106.56;5.3;96;3.84;5.03;3.36;4.78;0;4.2;41.6;1.7;20;0.05;0.04;0.16;0.28;0.17;
1141;41.8313;9.3033;GWL30;17.52;26.73;9.6;30.45;17.4;62;98.4;1052.52;86.32;350.67;47.51;91.52;5;156;3.71;5;2.7;5.05;16.8;48;66.9;1.3;23;0.05;0.06;0.12;0.19;0.14;
1142;41.8249;9.3988;GWL30;18.77;26.96;11.47;30.44;9.1;59.9;107.2;920.03;84.37;290.47;46.49;101.75;5.1;167;3.06;3.55;2.6;3.41;9.1;46.8;56.4;1.4;-2;0.09;0.1;0.19;0.15;0.19;
1276;41.9509;8.5455;GWL30;18.52;26.3;11.56;29.68;6.6;56;97.9;764.84;79.15;184.33;29.62;48.7;5;166;3.15;3.77;2.77;3.14;6.3;46.6;69.7;1.4;2;0.08;0.24;-0.04;0.07;0.07;
1277;41.9452;8.6413;GWL30;18.12;26.31;10.88;29.56;5.8;56.5;98.2;820.49;84.22;197.1;31.7;51.15;5;155;3.3;4.19;2.72;3.51;5.5;46.2;71.4;1.4;2;0.07;0.23;-0.04;0.07;0.06;
1278;41.9394;8.7372;GWL30;18.14;26.27;10.94;29.54;5.3;55.7;98.3;815.43;83.76;195.9;31.54;50.93;4.9;147;3.27;4.12;2.72;3.45;5.1;45.7;71.6;1.3;5;0.07;0.23;-0.04;0.07;0.06;
1279;41.9335;8.833;GWL30;17.99;25.85;10.98;29.42;8.1;52;89.8;813.04;77.44;213.92;34.57;54.51;5.2;156;3.06;3.65;2.69;3.28;8;42.7;62.9;1.7;2;0.06;0.14;0.03;0.18;0.04;
1280;41.9276;8.9288;GWL30;17.23;26.09;9.66;29.75;19.2;55.8;87;913.96;85.55;252.12;37.63;66.73;4.2;158;3.59;4.97;2.75;4.94;18.8;45.6;66.3;0.5;26;0.02;0.04;0.05;0.11;0.07;
1281;41.9215;9.0246;GWL30;15.17;24.46;7.45;27.08;5.8;33.7;77.7;1185.47;115.37;335.61;45.48;76.48;4.7;119;3.9;5.36;3.07;5.23;5.8;30.9;63;1;20;-0.02;0.01;-0.03;0.06;0.02;
1282;41.9154;9.1203;GWL30;15.79;25.12;8.06;28.24;9.8;42;80.9;1453.13;140.91;482.43;59.61;94.71;5.3;113;3.92;5.41;3.11;5.38;9.8;37.2;65.8;1.7;22;0.09;0.05;0.21;0.29;0.2;
1283;41.9091;9.216;GWL30;12.84;21.69;5.57;24.3;0.3;11;42;1287.01;131.38;427.38;54.18;87.91;5.6;113;3.76;4.95;3.2;4.72;0.3;11;40.1;2;24;0.09;0.04;0.24;0.31;0.2;
