#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h48 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RegCM4-6_MPI-ESM
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
567;41.5579;9.0791;GWL20;16;24.81;8.34;28.54;12;40.3;68.2;1142.06;81.69;402.99;40.56;60.68;3.9;130;2.54;3.59;1.66;3.48;11;26;45.5;0.2;14;0.09;-0.1;0.25;0.1;0.03;
568;41.5517;9.1743;GWL20;17.54;25.86;10.35;30.29;14.3;57.2;76.3;807.81;54.66;276.01;31.3;50.84;4.2;177;2.37;3.06;1.77;3.02;12.3;33.3;46.2;0.6;-7;0.06;-0.13;0.16;0.04;-0.04;
569;41.5454;9.2694;GWL20;17.98;26.15;10.89;30.67;15.3;60.8;79.2;769.92;52.18;263.87;30.04;49.27;4.2;183;2.33;2.96;1.81;2.87;13.2;33.8;46.8;0.7;-8;0.07;-0.13;0.16;0.05;-0.03;
707;41.6474;8.8014;GWL20;17.31;24.97;10.39;28.99;7.2;30.6;69.2;816.95;51.06;255.65;29.4;55.81;5.1;173;2.01;2.53;1.54;2.54;6.9;21.3;42.4;1.4;-1;0.1;-0.11;0.16;0.1;0.19;
708;41.6415;8.8967;GWL20;16.95;24.99;9.79;28.9;8.2;37.4;71;829.9;54.37;272.02;31.25;50.82;4.8;165;2.2;2.94;1.6;2.89;7.8;26.1;44.9;1.1;6;0.05;-0.14;0.18;0.06;0.06;
709;41.6355;8.992;GWL20;16.83;25.01;9.59;28.95;9.8;40.1;70.6;849.65;55.68;278.08;32.01;51.75;4.8;161;2.28;3.11;1.62;3.06;9.3;27;45.3;1.1;10;0.05;-0.14;0.18;0.06;0.06;
710;41.6294;9.0873;GWL20;16.16;25.03;8.53;28.84;11.8;42.8;70.7;1088.39;77.64;389.98;38.05;66.29;3.7;127;2.49;3.63;1.62;3.5;10.9;28;47.8;-0.1;22;0.04;-0.18;0.21;0.04;-0.03;
711;41.6232;9.1826;GWL20;16.1;25;8.47;28.79;11.9;42.5;70.5;1095.78;78.13;392.74;38.28;66.61;3.7;137;2.51;3.65;1.63;3.53;10.9;27.9;47.7;0;12;0.04;-0.18;0.21;0.04;-0.03;
712;41.6169;9.2779;GWL20;17.84;25.82;10.84;30.13;11.1;56.2;82.2;852.13;58.76;303.94;34.07;65.52;4.2;172;2.09;2.48;1.67;2.43;10.1;31.2;41.3;0.6;3;0.05;0.05;0.17;0.02;0.06;
849;41.7248;8.7138;GWL20;17.34;24.99;10.42;29.01;7.2;30.8;69.1;813.93;50.87;254.75;29.29;55.67;5;172;2;2.52;1.55;2.53;7;21.4;42.3;1.3;0;0.1;-0.11;0.16;0.1;0.19;
850;41.719;8.8093;GWL20;17.32;24.98;10.4;28.99;7.2;30.9;69.2;815.79;50.98;255.3;29.37;55.76;5;174;2.01;2.53;1.55;2.54;7;21.5;42.3;1.4;-1;0.1;-0.11;0.16;0.1;0.19;
851;41.713;8.9047;GWL20;16.79;25.01;9.52;28.97;9.9;40.6;70.7;857.16;56.15;280.49;32.26;52.1;4.6;159;2.3;3.16;1.63;3.11;9.5;27.1;45.9;1.1;11;0.05;-0.14;0.18;0.06;0.06;
852;41.707;9.0001;GWL20;16.59;25.31;9.01;29.42;13.8;45.5;73.1;1034.54;72.58;360.35;36.88;58.39;4.8;148;2.44;3.45;1.62;3.45;12.6;27.9;47.4;1.1;20;0.06;-0.13;0.17;0.09;0.07;
853;41.7009;9.0955;GWL20;16.17;25.04;8.55;28.86;11.8;43;70.8;1086.09;77.5;389.07;37.99;66.2;3.7;129;2.49;3.62;1.62;3.49;10.8;28.2;47.7;-0.1;17;0.04;-0.18;0.21;0.04;-0.03;
854;41.6946;9.1909;GWL20;14.92;23.88;7.23;27.02;6.8;28;61.7;1204.13;85.88;433.12;41.94;71.29;3.7;120;2.58;3.75;1.67;3.59;6.5;20.6;45;0;21;0.04;-0.17;0.22;0.03;-0.02;
855;41.6884;9.2863;GWL20;16.84;25.35;9.44;29.45;11.4;51;75.8;956.28;66.16;339.99;37.41;70.85;4.2;155;2.31;3.01;1.63;2.98;10.3;30.9;42.2;0.5;6;0.04;0.04;0.17;0.01;0.06;
856;41.682;9.3817;GWL20;18.01;25.92;11.06;30.25;10.9;57.8;83.2;836.24;57.74;298.04;33.62;64.77;4.2;178;2.07;2.43;1.68;2.38;10;31.6;40.9;0.6;3;0.05;0.06;0.17;0.02;0.06;
992;41.7963;8.7216;GWL20;17.25;24.95;10.31;28.95;6.8;30.4;69;824.06;51.5;257.7;29.66;56.13;5.1;171;2.02;2.55;1.54;2.56;6.6;21;42.3;1.4;2;0.1;-0.11;0.16;0.1;0.19;
993;41.7905;8.8171;GWL20;16.51;24.82;9.17;28.79;8.5;37.8;67;934.48;58.17;289.93;33.75;61.03;5.1;154;2.33;3.23;1.6;3.26;8;24.9;44.3;1.5;8;0.1;-0.11;0.15;0.11;0.17;
994;41.7845;8.9127;GWL20;17.04;25.55;9.58;29.9;12.1;51;73.3;1021.25;65.81;340.14;35.55;63.88;5.2;155;2.3;3.17;1.56;3.25;11;31;44.3;1.5;8;0.1;-0.14;0.14;0.13;0.18;
995;41.7785;9.0083;GWL20;14.84;23.86;7.15;27.13;7.2;29.8;61;1206.95;79.63;408.86;43.77;67.72;4.9;131;2.54;3.76;1.65;3.81;7;22.5;42.6;1.2;25;0.06;-0.17;0.14;0.09;0.13;
996;41.7724;9.1038;GWL20;14.3;23.28;6.59;26.22;2.5;22.4;58.5;1400.01;99.69;511.08;50.64;91.49;3.9;111;2.55;3.71;1.64;3.49;2.5;18.1;43.7;0.3;28;0.03;-0.21;0.17;0.06;0.08;
997;41.7661;9.1993;GWL20;14.03;22.99;6.34;25.84;1.5;19.5;56.3;1419.21;101.09;517.36;51.53;91.31;3.9;109;2.54;3.69;1.64;3.46;1.5;16.3;42.4;0.3;30;0.02;-0.2;0.16;0.06;0.05;
998;41.7598;9.2948;GWL20;15.8;24.47;8.2;28.51;9.6;40.5;64;1281.15;108.84;467.4;46.74;76.07;4.8;126;2.42;3.26;1.65;3.26;9;26.3;42.2;1.1;21;0.06;0.01;0.22;0.09;0.02;
999;41.7535;9.3902;GWL20;17.79;25.86;10.73;30.18;11.1;55.2;83.2;867.18;65.1;307.26;34.42;65.46;4.2;181;2.16;2.62;1.69;2.59;10.3;30.7;42.4;0.5;11;0.04;0.11;0.16;0;-0.01;
1134;41.8737;8.6336;GWL20;17.45;25.06;10.57;29.11;7.5;32.3;69.3;801.88;50.11;251.12;28.77;55.13;5;171;2;2.51;1.56;2.52;7.2;22.4;42;1.3;2;0.1;-0.11;0.16;0.1;0.19;
1135;41.8679;8.7294;GWL20;17.45;25.06;10.57;29.11;7.5;32.3;69.3;801.88;50.11;251.12;28.77;55.13;5;162;2;2.51;1.56;2.52;7.2;22.4;42;1.3;4;0.1;-0.11;0.16;0.1;0.19;
