#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h51 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HadREM3-GA7_EC-EARTH
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL30;18.86;26.7;11.81;31.98;23;81.4;80.7;717.53;36.98;238.72;33.78;65.08;4.7;198;2.99;3.3;2.59;3.92;20.9;51.5;49;1;27;0.03;-0.37;0.07;0.24;0.28;
281;41.4149;9.0628;GWL30;18.86;26.69;11.8;31.97;23;81.3;80.7;717.87;37;238.85;33.81;65.09;4.7;198;2.99;3.3;2.59;3.92;20.9;51.5;48.9;1;27;0.03;-0.37;0.07;0.24;0.28;
282;41.4087;9.1577;GWL30;18.53;26.47;11.39;31.72;21;75.8;78.8;742.68;38.37;247.07;34.85;66.26;4.7;209;3;3.35;2.54;4.04;19;49.6;48.7;0.9;23;0.02;-0.37;0.07;0.23;0.27;
283;41.4025;9.2527;GWL30;18.82;26.67;11.76;31.95;23;81.2;80.3;720.18;37.13;239.6;33.9;65.2;4.7;218;2.99;3.3;2.58;3.93;20.9;51.5;48.8;1;22;0.03;-0.37;0.07;0.24;0.28;
422;41.4985;8.8808;GWL30;18.68;26.42;11.65;31.42;18;72.4;86.3;692.13;32.98;229.35;32.33;60.83;4.7;217;2.9;3.1;2.56;3.47;15.8;43.3;53.8;1;27;-0.02;-0.44;0.03;0.15;0.25;
423;41.4925;8.9759;GWL30;18.48;26.47;11.31;31.7;22.3;72.6;80.4;715.27;35.22;242.75;31.71;63.94;4.5;208;2.92;3.32;2.44;3.98;20.3;46;49.3;0.8;25;-0.02;-0.43;0.05;0.07;0.11;
424;41.4864;9.071;GWL30;18.69;26.8;11.54;31.99;24;79;84.1;720.5;37.39;230.13;31.31;81.69;4.3;211;3.02;3.57;2.55;4.14;21.9;51.4;52.9;0.8;21;-0.02;-0.36;-0.05;0.09;0.17;
425;41.4802;9.166;GWL30;18.29;26.54;11.01;31.7;22.7;74.7;81.7;752.82;39.22;240.47;32.66;83.37;4.5;203;3.06;3.69;2.49;4.34;20.8;50.3;52.5;0.9;20;-0.03;-0.36;-0.05;0.09;0.17;
426;41.4739;9.261;GWL30;18.69;26.8;11.54;31.99;24;79;84.1;720.5;37.39;230.13;31.31;81.69;4.3;207;3.02;3.57;2.55;4.14;21.9;51.4;52.9;0.8;23;-0.02;-0.36;-0.05;0.09;0.17;
564;41.5759;8.7935;GWL30;17.74;25;10.84;29.23;5.8;39.7;71.8;718.38;34.53;220.19;30.85;57.45;4.7;187;2.52;2.64;2.17;2.86;5.4;31;46.4;1;30;-0.02;-0.44;0.05;0.1;0.25;
565;41.57;8.8888;GWL30;17.47;24.95;10.4;29.18;5.7;42;70.7;752.55;36.27;230.05;32.32;59.24;4.6;185;2.62;2.87;2.15;3.11;5.4;32;46.3;1;28;-0.02;-0.43;0.05;0.09;0.24;
566;41.564;8.984;GWL30;17.48;25.49;10.13;29.88;9.9;57.9;73.3;776.04;34.98;241.61;34.34;62.99;4.1;176;2.92;3.63;2.21;3.99;9.5;44.9;49.2;0.4;30;-0.03;-0.46;0.04;0.1;0.15;
567;41.5579;9.0791;GWL30;16.87;26.02;8.94;30.38;19.2;63;78.8;1052.02;52.74;346.17;43.82;102.11;4.3;154;3.46;4.87;2.39;5.38;18.1;49.4;56.7;0.7;41;-0.01;-0.41;0.05;0.17;0.31;
568;41.5517;9.1743;GWL30;18.22;26.5;10.91;31.66;22.6;74.2;81.7;758.83;39.57;242.37;32.96;83.68;4.4;200;3.07;3.72;2.49;4.38;20.8;50.5;52.8;0.9;18;-0.03;-0.36;-0.05;0.09;0.17;
569;41.5454;9.2694;GWL30;18.87;27.28;11.67;32.1;24.1;80.9;96.7;844.84;37.61;253.67;34.67;153.95;4.3;202;3.25;4.1;2.72;4.33;22.1;54.2;65.6;0.8;14;0.07;-0.4;0.01;0.11;0.69;
707;41.6474;8.8014;GWL30;17.78;25.02;10.89;29.25;5.8;39.9;72.2;714.78;34.35;219.1;30.71;57.26;4.7;193;2.52;2.63;2.17;2.85;5.4;31.1;46.5;1;29;-0.02;-0.44;0.05;0.1;0.25;
708;41.6415;8.8967;GWL30;17.54;25.47;10.25;29.81;9.6;54.8;74.9;795.55;35.05;254.32;35.18;81.24;4.3;176;2.84;3.49;2.16;3.84;9.2;43.7;50;0.6;24;0;-0.45;0.1;0.16;0.37;
709;41.6355;8.992;GWL30;17.46;25.5;10.09;29.91;10;58.7;73.2;780.02;35.17;242.84;34.48;63.21;4.1;174;2.94;3.68;2.21;4.05;9.6;45.4;49.2;0.4;33;-0.03;-0.46;0.04;0.1;0.15;
710;41.6294;9.0873;GWL30;17.02;26.1;9.13;30.52;19;63.8;79.7;1031.45;51.7;338.91;42.98;101.13;4.2;152;3.39;4.75;2.35;5.23;17.9;49.1;56.8;0.6;42;-0.01;-0.41;0.05;0.17;0.31;
711;41.6232;9.1826;GWL30;16.97;26.08;9.07;30.48;19;63.8;79.5;1037.8;52.02;340.96;43.23;101.44;4.2;163;3.42;4.79;2.36;5.28;17.9;49.5;56.8;0.6;37;-0.01;-0.41;0.05;0.17;0.31;
712;41.6169;9.2779;GWL30;18.68;26.94;11.46;31.48;13.8;76.5;99;935.44;39.51;283.96;40.27;161.13;4.3;190;2.95;3.61;2.41;3.78;12.9;51.8;59.7;0.7;20;0.07;-0.35;0;0.11;0.65;
849;41.7248;8.7138;GWL30;18.01;25.51;11.05;29.67;8;46.3;82.4;734.88;31.14;224.33;31.86;71.78;4.4;190;2.72;3.09;2.3;3.24;7.7;37.2;55.8;0.7;25;0;-0.49;0.04;0.12;0.38;
850;41.719;8.8093;GWL30;18;25.5;11.03;29.66;8;46.1;82.3;736.5;31.21;224.82;31.92;71.86;4.4;189;2.73;3.09;2.3;3.25;7.7;36.9;55.8;0.7;21;0;-0.49;0.04;0.12;0.38;
851;41.713;8.9047;GWL30;17.42;25.56;9.99;30;11.6;58.9;74.8;820.11;36.2;262.25;36.46;82.55;4.3;171;2.97;3.78;2.2;4.19;11.1;46;50.8;0.6;28;0;-0.45;0.1;0.16;0.36;
852;41.707;9.0001;GWL30;17.26;25.95;9.52;30.66;19.2;62.6;76.9;972.71;47.61;332.1;41.23;87.88;4.3;160;3.16;4.17;2.26;4.74;18;45.4;52.5;0.6;36;-0.01;-0.43;0.08;0.17;0.34;
853;41.7009;9.0955;GWL30;17.09;26.29;9.04;30.68;18.5;66.7;83.7;1006.85;49.89;337.55;42.64;85.61;4.8;160;3.45;4.93;2.25;5.37;17.6;52.1;60.7;1.2;41;-0.02;-0.42;0.06;0.13;0.25;
854;41.6946;9.1909;GWL30;16.01;25.37;7.91;28.72;9.6;50.5;83.8;1222.83;58.91;391.53;46.73;150.36;4.8;147;3.71;5.29;2.47;5.44;9.3;43.6;64.7;1.3;40;0.03;-0.39;0.07;0.09;0.47;
855;41.6884;9.2863;GWL30;17.83;26.79;10.03;31.23;17.5;72.4;97.2;1020.15;40.27;324.98;42.23;153.53;4.5;176;3.33;4.46;2.36;4.77;16.5;52.2;63.4;0.8;27;0.06;-0.38;0.03;0.08;0.53;
856;41.682;9.3817;GWL30;18.93;27.15;11.78;31.55;13.8;78.9;107.7;983.96;42.94;319.61;42.15;164.61;4.3;193;3.01;3.66;2.53;3.7;12.8;53.2;65.6;0.7;16;0.13;-0.29;0.14;0.2;0.51;
992;41.7963;8.7216;GWL30;17.93;25.48;10.93;29.62;7.8;45.5;82.4;743.63;31.53;226.93;32.22;72.21;4.4;190;2.74;3.13;2.29;3.27;7.5;36.7;56;0.7;27;0;-0.49;0.04;0.12;0.38;
993;41.7905;8.8171;GWL30;17.28;25.54;9.81;29.73;10.6;52.7;81.8;839.2;35.7;255.8;36.58;76.87;4.3;166;3.14;4.03;2.35;4.26;10.1;40.3;59.9;0.6;33;-0.01;-0.48;0.03;0.12;0.35;
994;41.7845;8.9127;GWL30;17.85;26.43;10.22;31.25;19.2;70.9;83.7;900.13;39.88;302.97;35.46;86.3;4.1;169;3.15;4.11;2.33;4.64;18.1;51.1;54.6;0.5;36;-0.05;-0.5;0.01;0.07;0.2;
995;41.7785;9.0083;GWL30;15.8;24.88;7.92;28.63;10.8;46.8;70.9;1098.13;49.02;370.94;43.07;95.63;4.1;148;3.55;4.84;2.53;5.42;10.5;40;52.6;0.6;45;-0.05;-0.49;0.01;0.06;0.17;
996;41.7724;9.1038;GWL30;15.24;24.63;7.08;28.11;6.1;43;70.6;1272.58;67.93;436.2;53.68;90.68;5.1;148;3.54;5.12;2.27;5.46;6;39.1;55.4;1.3;52;-0.05;-0.44;0.02;0.14;0.15;
997;41.7661;9.1993;GWL30;15.08;24.29;7.08;27.41;4.2;34.4;73.1;1441.11;75.93;472.67;53.73;163.96;4.8;139;3.63;5.02;2.51;5.13;4.1;31.4;58.4;1.2;47;0.02;-0.38;0.04;0.06;0.44;
998;41.7598;9.2948;GWL30;16.82;25.98;8.84;30.37;15.1;63.8;84.8;1278.14;67.13;411.57;47.83;155.79;4.4;147;3.49;4.81;2.43;5.13;14.3;49.9;63.8;0.8;40;0.02;-0.38;0.03;0.08;0.47;
999;41.7535;9.3902;GWL30;18.67;27.02;11.4;31.45;13.5;75.6;105.6;1008.78;44.23;328.36;43.03;165.71;4.2;192;3.05;3.77;2.49;3.87;12.5;51.6;66.2;0.5;18;0.13;-0.29;0.13;0.2;0.5;
1134;41.8737;8.6336;GWL30;18.09;25.4;11.18;29.53;5.1;44;79.5;717.13;33.3;221.66;32.27;70.71;4.7;190;2.69;2.9;2.3;3;4.6;35;53.5;1.1;27;0;-0.45;0.07;0.17;0.49;
1135;41.8679;8.7294;GWL30;18.24;25.69;11.35;29.86;8.4;49.9;87.9;735.92;29.26;221.85;31.38;83.89;4.8;181;2.84;3.18;2.47;3.32;8;40.4;61.4;1;39;0;-0.51;0.02;0.14;0.28;
1136;41.862;8.8251;GWL30;17.69;25.73;10.38;29.9;9.2;55;87.8;813.3;32.58;245.44;34.59;87.77;4.7;174;3.11;3.84;2.44;4;8.8;42.7;63.3;1.1;41;-0.01;-0.51;0.02;0.14;0.27;
1137;41.856;8.9207;GWL30;16.98;25.98;9.14;30.52;19.5;62.7;78.8;1003.79;44.57;338.01;39.47;91.17;4.1;156;3.44;4.71;2.45;5.36;18.5;48.7;54.9;0.5;44;-0.05;-0.5;0.01;0.07;0.18;
1138;41.85;9.0164;GWL30;17.2;26.56;9.04;31.01;19.5;68.8;84.4;965.35;46.57;325.57;40.16;70.44;5.2;159;3.43;5.08;2.11;5.53;18.4;53.6;61;1.6;41;-0.04;-0.46;0.04;0.11;0.16;
1139;41.8439;9.112;GWL30;13.28;22.53;5.35;25.18;0.1;12.4;55;1384;74.93;472.55;58.45;98.74;5.2;138;3.5;4.97;2.36;5.08;0.1;12;47;1.5;53;-0.06;-0.44;0;0.13;0.14;
1140;41.8376;9.2077;GWL30;11.67;20.41;4.12;22.46;0;1.9;37;1558.97;87.14;511.65;60.98;141.59;4.2;132;3.46;4.55;2.55;4.47;0;1.9;34.4;0.4;58;-0.04;-0.39;-0.02;0.03;0.29;
